"ItinID","MktID","MktCoupons","Year","Quarter","OriginAirportID","OriginAirportSeqID","OriginCityMarketID","Origin","OriginCountry","OriginStateFips","OriginState","OriginStateName","OriginWac","DestAirportID","DestAirportSeqID","DestCityMarketID","Dest","DestCountry","DestStateFips","DestState","DestStateName","DestWac","AirportGroup","WacGroup","TkCarrierChange","TkCarrierGroup","OpCarrierChange","OpCarrierGroup","RPCarrier","TkCarrier","OpCarrier","BulkFare","Passengers","MktFare","MktDistance","MktDistanceGroup","MktMilesFlown","NonStopMiles","ItinGeoType","MktGeoType",
202213852348,20221385234801,2,2022,1,11259,1125904,30194,"DAL","US","48","TX","Texas",74,14057,1405702,34057,"PDX","US","41","OR","Oregon",92,"DAL:SAN:PDX","74:91:92",1.00,"WN:--",1.00,"WN:--","WN","99","99",0.00,1.00,291.31,2115.00,5,1182.00,1626.00,2,2,
202213852348,20221385234803,2,2022,1,14057,1405702,34057,"PDX","US","41","OR","Oregon",92,11259,1125904,30194,"DAL","US","48","TX","Texas",74,"PDX:DEN:DAL","92:82:74",0.00,"WN:WN",0.00,"WN:WN","WN","WN","WN",0.00,1.00,404.69,1642.00,4,1642.00,1626.00,2,2,
202213852349,20221385234901,2,2022,1,11259,1125904,30194,"DAL","US","48","TX","Texas",74,14107,1410702,30466,"PHX","US","04","AZ","Arizona",81,"DAL:SAN:PHX","74:91:81",0.00,"WN:WN",0.00,"WN:WN","WN","WN","WN",0.00,1.00,229.00,1486.00,3,1486.00,879.00,2,2,
202213852350,20221385235001,2,2022,1,11259,1125904,30194,"DAL","US","48","TX","Texas",74,14107,1410702,30466,"PHX","US","04","AZ","Arizona",81,"DAL:SAN:PHX","74:91:81",0.00,"WN:WN",0.00,"WN:WN","WN","WN","WN",0.00,1.00,382.00,1486.00,3,1486.00,879.00,2,2,
202213852351,20221385235101,1,2022,1,11259,1125904,30194,"DAL","US","48","TX","Texas",74,14679,1467903,33570,"SAN","US","06","CA","California",91,"DAL:SAN","74:91",0.00,"WN",0.00,"WN","WN","WN","WN",0.00,5.00,5.50,1182.00,3,1182.00,1182.00,2,2,
202213852351,20221385235102,2,2022,1,14679,1467903,33570,"SAN","US","06","CA","California",91,11259,1125904,30194,"DAL","US","48","TX","Texas",74,"SAN:PHX:DAL","91:81:74",0.00,"WN:WN",0.00,"WN:WN","WN","WN","WN",0.00,5.00,5.50,1183.00,3,1183.00,1182.00,2,2,
202213852352,20221385235201,1,2022,1,11259,1125904,30194,"DAL","US","48","TX","Texas",74,14679,1467903,33570,"SAN","US","06","CA","California",91,"DAL:SAN","74:91",0.00,"WN",0.00,"WN","WN","WN","WN",0.00,1.00,97.96,1182.00,3,1182.00,1182.00,2,2,
202213852352,20221385235202,2,2022,1,14679,1467903,33570,"SAN","US","06","CA","California",91,11259,1125904,30194,"DAL","US","48","TX","Texas",74,"SAN:PHX:DAL","91:81:74",0.00,"WN:WN",0.00,"WN:WN","WN","WN","WN",0.00,1.00,98.04,1183.00,3,1183.00,1182.00,2,2,
202213852353,20221385235301,1,2022,1,11259,1125904,30194,"DAL","US","48","TX","Texas",74,14679,1467903,33570,"SAN","US","06","CA","California",91,"DAL:SAN","74:91",0.00,"WN",0.00,"WN","WN","WN","WN",0.00,1.00,134.94,1182.00,3,1182.00,1182.00,2,2,
202213852353,20221385235302,2,2022,1,14679,1467903,33570,"SAN","US","06","CA","California",91,11259,1125904,30194,"DAL","US","48","TX","Texas",74,"SAN:PHX:DAL","91:81:74",0.00,"WN:WN",0.00,"WN:WN","WN","WN","WN",0.00,1.00,135.06,1183.00,3,1183.00,1182.00,2,2,
202213852354,20221385235401,1,2022,1,11259,1125904,30194,"DAL","US","48","TX","Texas",74,14679,1467903,33570,"SAN","US","06","CA","California",91,"DAL:SAN","74:91",0.00,"WN",0.00,"WN","WN","WN","WN",0.00,2.00,153.93,1182.00,3,1182.00,1182.00,2,2,
202213852354,20221385235402,2,2022,1,14679,1467903,33570,"SAN","US","06","CA","California",91,11259,1125904,30194,"DAL","US","48","TX","Texas",74,"SAN:PHX:DAL","91:81:74",0.00,"WN:WN",0.00,"WN:WN","WN","WN","WN",0.00,2.00,154.07,1183.00,3,1183.00,1182.00,2,2,
202213852355,20221385235501,1,2022,1,11259,1125904,30194,"DAL","US","48","TX","Texas",74,14679,1467903,33570,"SAN","US","06","CA","California",91,"DAL:SAN","74:91",0.00,"WN",0.00,"WN","WN","WN","WN",0.00,1.00,204.41,1182.00,3,1182.00,1182.00,2,2,
202213852355,20221385235502,2,2022,1,14679,1467903,33570,"SAN","US","06","CA","California",91,11259,1125904,30194,"DAL","US","48","TX","Texas",74,"SAN:PHX:DAL","91:81:74",0.00,"WN:WN",0.00,"WN:WN","WN","WN","WN",0.00,1.00,204.59,1183.00,3,1183.00,1182.00,2,2,
202213852356,20221385235601,1,2022,1,11259,1125904,30194,"DAL","US","48","TX","Texas",74,14679,1467903,33570,"SAN","US","06","CA","California",91,"DAL:SAN","74:91",0.00,"WN",0.00,"WN","WN","WN","WN",0.00,1.00,208.41,1182.00,3,1182.00,1182.00,2,2,
202213852356,20221385235602,2,2022,1,14679,1467903,33570,"SAN","US","06","CA","California",91,11259,1125904,30194,"DAL","US","48","TX","Texas",74,"SAN:PHX:DAL","91:81:74",0.00,"WN:WN",0.00,"WN:WN","WN","WN","WN",0.00,1.00,208.59,1183.00,3,1183.00,1182.00,2,2,
202213852357,20221385235701,1,2022,1,11259,1125904,30194,"DAL","US","48","TX","Texas",74,14679,1467903,33570,"SAN","US","06","CA","California",91,"DAL:SAN","74:91",0.00,"WN",0.00,"WN","WN","WN","WN",0.00,1.00,215.91,1182.00,3,1182.00,1182.00,2,2,
202213852357,20221385235702,2,2022,1,14679,1467903,33570,"SAN","US","06","CA","California",91,11259,1125904,30194,"DAL","US","48","TX","Texas",74,"SAN:PHX:DAL","91:81:74",0.00,"WN:WN",0.00,"WN:WN","WN","WN","WN",0.00,1.00,216.09,1183.00,3,1183.00,1182.00,2,2,
202213852358,20221385235801,1,2022,1,11259,1125904,30194,"DAL","US","48","TX","Texas",74,14679,1467903,33570,"SAN","US","06","CA","California",91,"DAL:SAN","74:91",0.00,"WN",0.00,"WN","WN","WN","WN",0.00,1.00,301.37,1182.00,3,1182.00,1182.00,2,2,
202213852358,20221385235802,2,2022,1,14679,1467903,33570,"SAN","US","06","CA","California",91,11259,1125904,30194,"DAL","US","48","TX","Texas",74,"SAN:PHX:DAL","91:81:74",0.00,"WN:WN",0.00,"WN:WN","WN","WN","WN",0.00,1.00,301.63,1183.00,3,1183.00,1182.00,2,2,
202213852359,20221385235901,1,2022,1,11259,1125904,30194,"DAL","US","48","TX","Texas",74,14679,1467903,33570,"SAN","US","06","CA","California",91,"DAL:SAN","74:91",0.00,"WN",0.00,"WN","WN","WN","WN",0.00,1.00,433.82,1182.00,3,1182.00,1182.00,2,2,
202213852359,20221385235902,2,2022,1,14679,1467903,33570,"SAN","US","06","CA","California",91,11259,1125904,30194,"DAL","US","48","TX","Texas",74,"SAN:PHX:DAL","91:81:74",0.00,"WN:WN",0.00,"WN:WN","WN","WN","WN",0.00,1.00,434.18,1183.00,3,1183.00,1182.00,2,2,
202213852360,20221385236001,1,2022,1,11259,1125904,30194,"DAL","US","48","TX","Texas",74,14679,1467903,33570,"SAN","US","06","CA","California",91,"DAL:SAN","74:91",0.00,"WN",0.00,"WN","WN","WN","WN",0.00,1.00,433.82,1182.00,3,1182.00,1182.00,2,2,
202213852360,20221385236002,2,2022,1,14679,1467903,33570,"SAN","US","06","CA","California",91,11259,1125904,30194,"DAL","US","48","TX","Texas",74,"SAN:PHX:DAL","91:81:74",0.00,"WN:WN",0.00,"WN:WN","WN","WN","WN",0.00,1.00,434.18,1183.00,3,1183.00,1182.00,2,2,
202213852361,20221385236101,2,2022,1,11259,1125904,30194,"DAL","US","48","TX","Texas",74,14570,1457002,34570,"RNO","US","32","NV","Nevada",85,"DAL:SAN:RNO","74:91:85",0.00,"WN:WN",0.00,"WN:WN","WN","WN","WN",0.00,1.00,154.43,1670.00,4,1670.00,1356.00,2,2,
202213852361,20221385236103,2,2022,1,14570,1457002,34570,"RNO","US","32","NV","Nevada",85,11259,1125904,30194,"DAL","US","48","TX","Texas",74,"RNO:LAS:DAL","85:85:74",0.00,"WN:WN",0.00,"WN:WN","WN","WN","WN",0.00,1.00,130.57,1412.00,3,1412.00,1356.00,2,2,
202213852362,20221385236201,1,2022,1,11259,1125904,30194,"DAL","US","48","TX","Texas",74,14679,1467903,33570,"SAN","US","06","CA","California",91,"DAL:SAN","74:91",0.00,"WN",0.00,"WN","WN","WN","WN",0.00,1.00,5.08,1182.00,3,1182.00,1182.00,2,2,
202213852362,20221385236202,2,2022,1,14679,1467903,33570,"SAN","US","06","CA","California",91,11259,1125904,30194,"DAL","US","48","TX","Texas",74,"SAN:SAT:DAL","91:74:74",0.00,"WN:WN",0.00,"WN:WN","WN","WN","WN",0.00,1.00,5.92,1376.00,3,1376.00,1182.00,2,2,
202213852363,20221385236301,2,2022,1,11259,1125904,30194,"DAL","US","48","TX","Texas",74,14771,1477104,32457,"SFO","US","06","CA","California",91,"DAL:SAN:SFO","74:91:91",0.00,"WN:WN",0.00,"WN:WN","WN","WN","WN",0.00,3.00,90.00,1629.00,4,1629.00,1476.00,2,2,
