RpCarrier,RpYear,RpMonth,CouponSeg,IssueCarrier,TotalAmt,TaxAmt,DollarCred,NumPax,PurWinGrp,SchFlYr_1,SchFlMo_1,Apt_1,WAC_1,CityMktID_1,ViaApt_1,OpCarrier_1,MktCarrier_1,SchFlYr_2,SchFlMo_2,Apt_2,Coupon_SegDist_1,Dwell_Time_2,TripBk19_7_2,TripBk19_8_2,CityMktID_2,CityWAC_2,ViaApt_2,OpCarrier_2,MktCarrier_2,SchFlYr_3,SchFlMo_3,Apt_3,Coupon_SegDist_2,Dwell_Time_3,TripBk19_7_3,TripBk19_8_3,CityMktID_3,CityWAC_3,ViaApt_3,OpCarrier_3,MktCarrier_3,SchFlYr_4,SchFlMo_4,Apt_4,Coupon_SegDist_3,Dwell_Time_4,TripBk19_7_4,TripBk19_8_4,CityMktID_4,CityWAC_4,ViaApt_4,OpCarrier_4,MktCarrier_4,SchFlYr_5,SchFlMo_5,Apt_5,Coupon_SegDist_4,Dwell_Time_5,TripBk19_7_5,TripBk19_8_5,CityMktID_5,CityWAC_5,ViaApt_5,OpCarrier_5,MktCarrier_5,SchFlYr_6,SchFlMo_6,Apt_6,Coupon_SegDist_5,Dwell_Time_6,TripBk19_7_6,TripBk19_8_6,CityMktID_6,CityWAC_6,ViaApt_6,OpCarrier_6,MktCarrier_6,SchFlYr_7,SchFlMo_7,Apt_7,Coupon_SegDist_6,Dwell_Time_7,TripBk19_7_7,TripBk19_8_7,CityMktID_7,CityWAC_7,ViaApt_7,OpCarrier_7,MktCarrier_7,SchFlYr_8,SchFlMo_8,Apt_8,Coupon_SegDist_7,Dwell_Time_8,TripBk19_7_8,TripBk19_8_8,CityMktID_8,CityWAC_8,ViaApt_8,OpCarrier_8,MktCarrier_8,SchFlYr_9,SchFlMo_9,Apt_9,Coupon_SegDist_8,Dwell_Time_9,TripBk19_7_9,TripBk19_8_9,CityMktID_9,CityWAC_9,ViaApt_9,OpCarrier_9,MktCarrier_9,SchFlYr_10,SchFlMo_10,Apt_10,Coupon_SegDist_9,Dwell_Time_10,TripBk19_7_10,TripBk19_8_10,CityMktID_10,CityWAC_10,ViaApt_10,OpCarrier_10,MktCarrier_10,SchFlYr_11,SchFlMo_11,Apt_11,Coupon_SegDist_10,Dwell_Time_11,TripBk19_7_11,TripBk19_8_11,CityMktID_11,CityWAC_11,ViaApt_11,OpCarrier_11,MktCarrier_11,SchFlYr_12,SchFlMo_12,Apt_12,Coupon_SegDist_11,Dwell_Time_12,TripBk19_7_12,TripBk19_8_12,CityMktID_12,CityWAC_12,ViaApt_12,OpCarrier_12,MktCarrier_12,SchFlYr_13,SchFlMo_13,Apt_13,Coupon_SegDist_12,Dwell_Time_13,TripBk19_7_13,TripBk19_8_13,CityMktID_13,CityWAC_13,ViaApt_13,OpCarrier_13,MktCarrier_13,SchFlYr_14,SchFlMo_14,Apt_14,Coupon_SegDist_13,Dwell_Time_14,TripBk19_7_14,TripBk19_8_14,CityMktID_14,CityWAC_14,ViaApt_14,OpCarrier_14,MktCarrier_14,SchFlYr_15,SchFlMo_15,Apt_15,Coupon_SegDist_14,Dwell_Time_15,TripBk19_7_15,TripBk19_8_15,CityMktID_15,CityWAC_15,ViaApt_15,OpCarrier_15,MktCarrier_15,SchFlYr_16,SchFlMo_16,Apt_16,Coupon_SegDist_15,Dwell_Time_16,TripBk19_7_16,TripBk19_8_16,CityMktID_16,CityWAC_16,ViaApt_16,OpCarrier_16,MktCarrier_16,SchFlYr_17,SchFlMo_17,Apt_17,Coupon_SegDist_16,Dwell_Time_17,TripBk19_7_17,TripBk19_8_17,CityMktID_17,CityWAC_17,ViaApt_17,OpCarrier_17,MktCarrier_17,SchFlYr_18,SchFlMo_18,Apt_18,Coupon_SegDist_17,Dwell_Time_18,TripBk19_7_18,TripBk19_8_18,CityMktID_18,CityWAC_18,ViaApt_18,OpCarrier_18,MktCarrier_18,SchFlYr_19,SchFlMo_19,Apt_19,Coupon_SegDist_18,Dwell_Time_19,TripBk19_7_19,TripBk19_8_19,CityMktID_19,CityWAC_19,ViaApt_19,OpCarrier_19,MktCarrier_19,SchFlYr_20,SchFlMo_20,Apt_20,Coupon_SegDist_19,Dwell_Time_20,TripBk19_7_20,TripBk19_8_20,CityMktID_20,CityWAC_20,ViaApt_20,OpCarrier_20,MktCarrier_20,SchFlYr_21,SchFlMo_21,Apt_21,Coupon_SegDist_20,Dwell_Time_21,TripBk19_7_21,TripBk19_8_21,CityMktID_21,CityWAC_21,ViaApt_21,OpCarrier_21,MktCarrier_21,SchFlYr_22,SchFlMo_22,Apt_22,Coupon_SegDist_21,Dwell_Time_22,TripBk19_7_22,TripBk19_8_22,CityMktID_22,CityWAC_22,ViaApt_22,OpCarrier_22,MktCarrier_22,SchFlYr_23,SchFlMo_23,Apt_23,Coupon_SegDist_22,Dwell_Time_23,TripBk19_7_23,TripBk19_8_23,CityMktID_23,CityWAC_23,ViaApt_23,OpCarrier_23,MktCarrier_23,LastApt,Coupon_SegDist_23,TripBk19_7_last,TripBk19_8_last,LastCityMktID,LastCityWAC
3M,2022,,1,3M,69,,0,1,,2022,,CAE,37,30868,,3M,3M,2022,,MCO,380,,X,X,31454,33,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3M,2022,,1,3M,193,,0,1,,2022,,CAE,37,30868,,3M,3M,2022,,MCO,380,,X,X,31454,33,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3M,2022,,2,3M,203,,0,1,,2022,,CAE,37,30868,,3M,3M,2022,,MCO,380,,X,X,31454,33,0,3M,3M,2022,,CAE,380,,X,X,30868,37,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3M,2022,,2,3M,262,,0,1,,2022,,CAE,37,30868,,3M,3M,2022,,MCO,380,,X,X,31454,33,0,3M,3M,2022,,CAE,380,,X,X,30868,37,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3M,2022,,2,3M,0,,0,1,,2022,,CAE,37,30868,,3M,3M,2022,,MCO,380,,Y,,31454,33,0,3M,3M,2022,,FLL,177,,Y,X,32467,33,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3M,2022,,1,3M,90,,0,1,,2022,,CAE,37,30868,,3M,3M,2022,,TPA,419,,X,X,33195,33,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3M,2022,,1,3M,109,,0,1,,2022,,CAE,37,30868,,3M,3M,2022,,TPA,419,,X,X,33195,33,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3M,2022,,1,3M,113,,0,1,,2022,,CAE,37,30868,,3M,3M,2022,,TPA,419,,X,X,33195,33,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3M,2022,,1,3M,0,,0,1,,2022,,CHS,37,30994,,3M,3M,2022,,FLL,470,,X,X,32467,33,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3M,2022,,1,3M,67,,0,2,,2022,,CHS,37,30994,,3M,3M,2022,,FLL,470,,X,X,32467,33,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
