SEATS,PASSENGERS,DISTANCE,CARRIER,ORIGIN,DEST,AIRCRAFT_TYPE,AIRCRAFT_CONFIG,MONTH
0.0,0.0,0.0,5V,GAL,GAL,150,2,1
0.0,0.0,0.0,5V,LRD,LRD,655,2,11
0.0,0.0,0.0,5Y,AFW,AFW,614,2,8
0.0,0.0,0.0,5Y,AFW,AFW,614,2,10
0.0,0.0,0.0,5Y,AFW,AFW,614,2,12
0.0,0.0,0.0,5Y,AFW,AFW,625,2,1
0.0,0.0,0.0,5Y,AFW,AFW,625,2,2
0.0,0.0,0.0,5Y,AFW,AFW,626,2,3
0.0,0.0,0.0,5Y,AFW,AFW,626,2,4
0.0,0.0,0.0,5Y,AFW,AFW,626,2,5
0.0,0.0,0.0,5Y,AFW,AFW,626,2,6
0.0,0.0,0.0,5Y,ANC,ANC,626,2,10
0.0,0.0,0.0,5Y,ANC,ANC,626,2,11
0.0,0.0,0.0,5Y,ANC,ANC,627,2,1
0.0,0.0,0.0,5Y,ANC,ANC,627,2,4
0.0,0.0,0.0,5Y,ANC,ANC,627,2,8
0.0,0.0,0.0,5Y,ANC,ANC,627,2,12
0.0,0.0,0.0,5Y,ANC,ANC,819,2,1
0.0,0.0,0.0,5Y,ANC,ANC,819,2,2
0.0,0.0,0.0,5Y,ANC,ANC,819,2,3
0.0,0.0,0.0,5Y,ANC,ANC,819,2,4
0.0,0.0,0.0,5Y,ANC,ANC,819,2,5
0.0,0.0,0.0,5Y,ANC,ANC,819,2,6
0.0,0.0,0.0,5Y,ANC,ANC,819,2,7
0.0,0.0,0.0,5Y,ANC,ANC,819,2,8
0.0,0.0,0.0,5Y,ANC,ANC,819,2,9
0.0,0.0,0.0,5Y,ANC,ANC,819,2,10
0.0,0.0,0.0,5Y,ANC,ANC,819,2,11
0.0,0.0,0.0,5Y,ANC,ANC,819,2,12
0.0,0.0,0.0,5Y,ANC,ANC,821,2,1
0.0,0.0,0.0,5Y,ANC,ANC,821,2,3
0.0,0.0,0.0,5Y,ANC,ANC,821,2,8
0.0,0.0,0.0,5Y,ANC,ANC,821,2,10
0.0,0.0,0.0,5Y,ANC,ANC,821,2,11
0.0,0.0,0.0,5Y,ATL,ATL,627,2,1
0.0,0.0,0.0,5Y,ATL,ATL,627,2,9
0.0,0.0,0.0,5Y,ATL,ATL,821,2,6
0.0,0.0,0.0,5Y,AUS,AUS,614,2,6
0.0,0.0,0.0,5Y,AUS,AUS,821,2,1
0.0,0.0,0.0,5Y,BHM,BHM,821,2,8
0.0,0.0,0.0,5Y,BNA,BNA,614,2,5
0.0,0.0,0.0,5Y,BNA,BNA,614,2,6
0.0,0.0,0.0,5Y,BNA,BNA,614,2,7
0.0,0.0,0.0,5Y,BOS,BOS,819,1,6
0.0,0.0,0.0,5Y,BWI,BWI,614,2,5
0.0,0.0,0.0,5Y,BWI,BWI,614,2,6
0.0,0.0,0.0,5Y,BWI,BWI,614,2,7
0.0,0.0,0.0,5Y,BWI,BWI,614,2,8
0.0,0.0,0.0,5Y,BWI,BWI,614,2,9
0.0,0.0,0.0,5Y,BWI,BWI,625,2,1
0.0,0.0,0.0,5Y,BWI,BWI,625,2,2
