airportId,airportCode,primaryAirportName,totalRecords,totalThroughput,firstSeen,lastSeen
0,UNKNOWN,Unmapped / Missing Airport,28587,12237249.0,2019-01-20,2026-01-03
1,ABE,Lehigh Valley International,40644,3509748.0,2019-01-01,2026-06-13
2,ABI,Abilene Regional Airport,28990,696837.0,2019-01-01,2026-06-13
3,ABQ,Albuquerque International Sunport,53086,17000870.0,2019-01-01,2026-06-13
4,ABR,Aberdeen Regional,5398,187576.0,2019-01-01,2026-06-13
5,ABY,Southwest Georgia Regional,10543,286429.0,2019-01-01,2026-06-13
6,ACK,Nantucket Memorial,22990,902239.0,2019-01-01,2026-06-13
7,ACP,121,67,13023.0,2025-11-03,2026-05-09
8,ACT,Waco Regional,15998,465057.0,2019-01-01,2026-06-13
9,ACV,California Redwood Coast-Humboldt County,24154,1138247.0,2019-01-01,2026-06-13
10,ACY,Atlantic City International,41802,2835730.0,2019-01-01,2026-06-13
11,ADK,Adak Naval Air Station,884,21610.0,2019-01-02,2026-06-13
12,ADQ,Kodiak,12267,524208.0,2019-01-01,2026-06-13
13,AEX,Alexandria International,24635,795314.0,2019-01-01,2026-06-13
14,AGS,Augusta Regional at Bush Field,38666,2188472.0,2019-01-01,2026-06-13
15,AIA,Alliance Municipal,4593,25910.0,2019-01-01,2026-06-13
16,AKN,King Salmon,3904,143757.0,2019-06-07,2026-06-13
17,ALB,Albany International,45907,10126121.0,2019-01-01,2026-06-13
18,ALO,Waterloo Municipal,7122,121166.0,2019-01-01,2026-06-13
19,ALS,San Luis Valley Regional/Bergman Field,7199,79473.0,2019-01-01,2026-06-13
20,ALW,Walla Walla Regional,11796,270687.0,2019-01-01,2026-06-13
21,AMA,Rick Husband Amarillo International,40446,2854793.0,2019-01-01,2026-06-13
22,ANC,Ted Stevens Anchorage International,63787,16638202.0,2019-01-01,2026-06-13
23,AOO,Martinsburg,6241,111386.0,2019-01-01,2026-06-13
24,APN,Alpena County Regional,4611,136106.0,2019-01-01,2026-06-13
25,ART,Watertown International,11501,619729.0,2019-01-01,2026-06-13
26,ASE,Aspen-Pitkin County/Sardy Field,33501,3908531.0,2019-01-01,2026-06-13
