aircraftId,tailNumber
0,UNKNOWN
1,
2,188NV
3,189NV
4,190NV
5,191NV
6,192NV
7,193NV
8,194NV
9,195NV
10,196NV
11,197NV
12,198NV
13,199NV
14,202NV
15,203NV
16,204NV
17,205NV
18,206NV
19,207NV
20,208NV
21,209NV
22,210NV
23,211NV
24,212NV
25,215NV
26,216NV
27,217NV
28,218NV
29,219NV
30,220NV
31,221NV
32,222NV
33,223NV
34,224NV
35,225NV
36,226NV
37,227NV
38,228NV
39,229NV
40,230NV
41,231NV
42,232NV
43,233NV
44,234NV
45,235NV
46,236NV
47,237NV
48,238NV
49,239NV
50,240NV
51,241NV
52,242NV
53,243NV
54,244NV
55,245NV
56,246NV
57,247NV
58,248NV
59,249NV
60,250NV
61,251NV
62,252NV
63,253NV
64,254NV
65,255NV
66,256NV
67,257NV
68,258NV
69,259NV
70,260NV
71,261NV
72,262NV
73,271NV
74,272NV
75,273NV
76,274NV
77,275NV
78,276NV
79,277NV
80,278NV
81,279NV
82,280NV
83,281NV
84,282NV
85,283NV
86,284NV
87,285NV
88,286NV
89,287NV
90,288NV
91,289NV
92,290NV
93,291NV
94,292NV
95,293NV
96,294NV
97,295NV
98,296NV
99,297NV
100,298NV
101,299NV
102,301NV
103,302NV
104,303NV
105,304NV
106,305NV
107,306NV
108,307NV
109,308NV
110,309NV
111,310NV
112,311NV
113,312NV
114,313NV
115,314NV
116,315NV
117,316NV
118,317NV
119,318NV
120,319NV
121,320NV
122,321NV
123,322NV
124,323NV
125,324NV
126,325NV
127,326NV
128,327NV
129,328NV
130,329NV
131,330NV
132,331NV
133,332NV
134,333NV
135,334NV
136,335NV
137,336NV
138,337NV
139,338NV
140,810MG
141,811NV
142,812NV
143,813NV
144,814NV
145,815NV
146,816NV
147,817NV
148,818NV
149,819NV
150,820NV
151,821NV
152,822NV
153,823NV
154,824NV
155,825NV
156,ALL
157,N002JB
158,N016JB
159,N017JB
160,N027JB
161,N029JB
162,N038JB
163,N101DQ
164,N101DU
165,N101HQ
166,N101NK
167,N101NN
168,N102DN
169,N102DU
170,N102HQ
171,N102NN
172,N102UW
173,N103DU
174,N103DY
175,N103HQ
176,N103NN
177,N103SY
178,N103US
179,N104DN
180,N104DU
181,N104HQ
182,N104NN
183,N104UW
184,N10575
185,N105DU
186,N105DX
187,N105HQ
188,N105NK
189,N105NN
190,N105SY
191,N105UW
192,N106DN
193,N106DU
194,N106HQ
195,N106NN
196,N106SY
197,N107DN
198,N107DU
199,N107HQ
200,N107NN
201,N107SY
202,N107US
203,N108DN
204,N108DQ
205,N108HQ
206,N108NN
207,N108SY
208,N108UW
209,N109DN
210,N109DU
211,N109HQ
212,N109NN
213,N109SY
214,N109UW
215,N110AN
216,N110DU
217,N110DX
218,N110HQ
219,N110SY
220,N110UW
221,N11106
222,N11107
223,N11109
224,N11164
225,N11165
226,N11184
227,N11189
228,N11192
229,N111DC
230,N111HQ
231,N111NG
232,N111US
233,N111ZM
234,N11206
235,N112AN
236,N112DN
237,N112DU
238,N112HQ
239,N112US
240,N113AN
241,N113DQ
242,N113DX
243,N113HQ
244,N113SY
245,N114DN
246,N114DU
247,N114HQ
248,N114NN
249,N114SY
250,N114UW
251,N11535
252,N11536
253,N11539
254,N11544
255,N11547
256,N11548
257,N11551
258,N115DN
259,N115DU
260,N115HQ
261,N115NN
262,N116AN
263,N116DN
264,N116DU
265,N116HQ
266,N116SY
267,N117AN
268,N117DU
269,N117DX
270,N117HQ
271,N117SY
272,N117UW
273,N118DU
274,N118DY
275,N118HQ
276,N118NN
277,N118SY
278,N118US
279,N119DN
280,N119DU
281,N119HQ
282,N119NN
283,N119SY
284,N119US
285,N12003
286,N12004
287,N12005
288,N12006
289,N1200K
290,N12010
291,N12012
292,N1201P
293,N12020
294,N12021
295,N12028
296,N120DN
297,N120DU
298,N120EE
299,N120HQ
300,N120SY
301,N12109
302,N12114
303,N12116
304,N12125
305,N12135
306,N12142
307,N12163
308,N12166
309,N12167
310,N12172
311,N121AN
312,N121DU
313,N121DZ
314,N121HQ
315,N121SY
316,N121UW
317,N12201
318,N12216
319,N12218
320,N12221
321,N12225
322,N12238
323,N122DN
324,N122DU
325,N122HQ
326,N122NN
327,N122SY
328,N122US
329,N123DQ
330,N123DW
331,N123HQ
332,N123NN
333,N123UW
334,N124AA
335,N124DU
336,N124DX
337,N124HQ
338,N124SY
339,N124US
340,N12540
341,N12563
342,N12564
343,N12569
344,N125AA
345,N125DN
346,N125DU
347,N125HQ
348,N125SY
349,N125UW
350,N126AN
351,N126DN
352,N126DU
353,N126HQ
354,N126UW
355,N12754
356,N127AA
357,N127DN
358,N127DU
359,N127HQ
360,N127SY
361,N127UW
362,N128AN
363,N128DN
364,N128DU
365,N128HQ
366,N128SY
367,N128UW
368,N12900
369,N129AA
370,N129DN
371,N129DU
372,N129HQ
373,N13013
374,N13014
375,N13018
376,N130AN
377,N130DU
378,N130HQ
379,N130SY
380,N13110
381,N13113
382,N13118
383,N13132
384,N13138
385,N131DU
386,N131EV
387,N131HQ
388,N131NN
389,N131SY
390,N13227
391,N13248
392,N132AN
393,N132DU
394,N132EV
395,N132HQ
396,N132SY
397,N133AN
398,N133DU
399,N133EV
400,N133HQ
401,N133SY
402,N134AN
403,N134DU
404,N134EV
405,N134HQ
406,N134SY
407,N13538
408,N13553
409,N135DQ
410,N135EV
411,N135HQ
412,N135NK
413,N135NN
414,N135SY
415,N136AN
416,N136DQ
417,N136EV
418,N136HQ
419,N136SY
420,N13716
421,N13718
422,N13720
423,N13750
424,N137AA
425,N137DU
426,N137EV
427,N137HQ
428,N138AN
429,N138DU
430,N138EV
431,N138HQ
432,N138SY
433,N13903
434,N13908
435,N13913
436,N13954
437,N13975
438,N13978
439,N13979
440,N13988
441,N13989
442,N13992
443,N13995
444,N139AN
445,N139DU
446,N139SY
447,N14001
448,N14011
449,N14016
450,N14019
451,N1402A
452,N140AN
453,N140DU
454,N140LL
455,N140SY
456,N14102
457,N14105
458,N14106
459,N14107
460,N14115
461,N14118
462,N14120
463,N14121
464,N14148
465,N14158
466,N14180
467,N14188
468,N141DU
469,N141NN
470,N141SY
471,N14203
472,N14214
473,N14219
474,N14228
475,N14230
476,N14231
477,N14235
478,N14237
479,N14240
480,N14242
481,N14249
482,N14250
483,N142AN
484,N142DU
485,N142SY
486,N143AN
487,N143DU
488,N143SY
489,N144AN
490,N144DU
491,N144SY
492,N14502
493,N14503
494,N14504
495,N14506
496,N14507
497,N14509
498,N14511
499,N14512
500,N14515
501,N14517
502,N14518
503,N14520
504,N14521
505,N14523
506,N14524
507,N14527
508,N14528
509,N14529
510,N14530
511,N14531
512,N14533
513,N14534
514,N14536
515,N14539
516,N14540
517,N14541
518,N14542
519,N14544
520,N14545
521,N14546
522,N14548
523,N14549
524,N14553
525,N14554
526,N14558
527,N14562
528,N14565
529,N14568
530,N14570
531,N14573
532,N145AN
533,N145DQ
534,N145SY
535,N146AA
536,N146PQ
537,N146SY
538,N14704
539,N14731
540,N14735
541,N147AA
542,N147NK
543,N147PQ
544,N148AN
545,N148SY
546,N14902
547,N14904
548,N14905
549,N14907
550,N14916
551,N14977
552,N14991
553,N14993
554,N149AN
555,N149SY
556,N150NN
557,N150SY
558,N150UW
559,N151AN
560,N151SY
561,N151UW
562,N152AA
563,N152DL
564,N152NK
565,N152SY
566,N152UW
567,N153AN
568,N153PQ
569,N153SY
570,N153UW
571,N154AA
572,N154DL
573,N154SY
574,N154UW
575,N15555
576,N15572
577,N15574
578,N155DL
579,N155NN
580,N155UW
581,N156AN
582,N156DL
583,N156SY
584,N156UW
585,N15710
586,N15712
587,N15751
588,N157AA
589,N157SY
590,N157UW
591,N158AN
592,N15910
593,N15912
594,N15969
595,N15980
596,N15983
597,N15986
598,N159AN
599,N16008
600,N16009
601,N1602
602,N1603
603,N1604R
604,N1605
605,N16065
606,N1607B
607,N1608
608,N1609
609,N160AN
610,N160SY
611,N1610D
612,N1611B
613,N1612T
614,N1613B
615,N16149
616,N16170
617,N16178
618,N161AA
619,N161PQ
620,N161SY
621,N161UW
622,N16217
623,N16234
624,N162AA
625,N162PQ
626,N162SY
627,N162UW
628,N163AA
629,N163SY
630,N163US
631,N164NN
632,N164SY
633,N16541
634,N16546
635,N16559
636,N16561
637,N16571
638,N165NN
639,N165SY
640,N165US
641,N166NN
642,N166PQ
643,N166SY
644,N16701
645,N16703
646,N16709
647,N16713
648,N16732
649,N167AN
650,N167SY
651,N167US
652,N168SY
653,N16911
654,N16976
655,N16981
656,N16987
657,N169DZ
658,N169UW
659,N17002
660,N17015
661,N17017
662,N170PQ
663,N170SY
664,N170US
665,N17104
666,N17105
667,N17108
668,N17115
669,N17122
670,N17126
671,N17128
672,N17133
673,N17139
674,N17159
675,N17185
676,N17196
677,N171DN
678,N171DZ
679,N171SY
680,N171US
681,N17229
682,N17233
683,N17244
684,N17245
685,N17254
686,N17262
687,N17264
688,N17265
689,N17272
690,N17279
691,N17285
692,N17289
693,N17294
694,N17296
695,N172AJ
696,N172DN
697,N172DZ
698,N172US
699,N17300
700,N17301
701,N17302
702,N17303
703,N17306
704,N17309
705,N17310
706,N17311
707,N17312
708,N17314
709,N17315
710,N17316
711,N17317
712,N17320
713,N17321
714,N17322
715,N17326
716,N17327
717,N17328
718,N17329
719,N17331
720,N17333
721,N17335
722,N17336
723,N17337
724,N17338
725,N17339
726,N17341
727,N17344
728,N17346
729,N17347
730,N17349
731,N17355
732,N17356
733,N17358
734,N17359
735,N17361
736,N17362
737,N17363
738,N17364
739,N17373
740,N173AN
741,N173DZ
742,N173SY
743,N173US
744,N17401
745,N17402
746,N17403
747,N17405
748,N17406
749,N17407
750,N17408
751,N17410
752,N17411
753,N17413
754,N17414
755,N17417
756,N17418
757,N17431
758,N174DN
759,N174DZ
760,N174SY
761,N174US
762,N17529
763,N17550
764,N17557
765,N17560
766,N17564
767,N17565
768,N17566
769,N17574
770,N17583
771,N17589
772,N17591
773,N17593
774,N17594
775,N17595
776,N17596
777,N17597
778,N17599
779,N175AN
780,N175DN
781,N175DZ
782,N175SY
783,N176AA
784,N176DN
785,N176DZ
786,N176PQ
787,N176SY
788,N176UW
789,N17719
790,N17730
791,N17752
792,N17753
793,N177AN
794,N177DN
795,N177DZ
796,N177NK
797,N177SY
798,N177US
799,N177XF
800,N178DN
801,N178DZ
802,N178JB
803,N178SY
804,N178US
805,N17963
806,N17984
807,N179DN
808,N179JB
809,N179SY
810,N179UW
811,N1801U
812,N1802U
813,N1803U
814,N1804U
815,N1805U
816,N1806U
817,N1807U
818,N1808U
819,N1809U
820,N180DN
821,N180US
822,N1810U
823,N18112
824,N18119
825,N1811U
826,N181DN
827,N181GJ
828,N181PQ
829,N181SY
830,N181UW
831,N18220
832,N18223
833,N18243
834,N182DN
835,N182GJ
836,N182SY
837,N182UW
838,N183AN
839,N183DN
840,N183GJ
841,N183JB
842,N183SY
843,N183UW
844,N184AN
845,N184DN
846,N184GJ
847,N184JB
848,N184SY
849,N184US
850,N18556
851,N18557
852,N185AN
853,N185DN
854,N185GJ
855,N185SY
856,N185UW
857,N186AN
858,N186DN
859,N186GJ
860,N186PQ
861,N186SY
862,N186US
863,N187AN
864,N187DN
865,N187GJ
866,N187JB
867,N187PQ
868,N187SY
869,N187US
870,N188AN
871,N188DN
872,N188SY
873,N188US
874,N189AN
875,N189DN
876,N189SY
877,N189UW
878,N1902U
879,N190AA
880,N190DN
881,N190JB
882,N190UW
883,N19117
884,N19130
885,N19136
886,N19141
887,N191AN
888,N191DN
889,N191SY
890,N191UW
891,N192AN
892,N192DN
893,N192JB
894,N192SY
895,N192UW
896,N193AN
897,N193DN
898,N193JB
899,N193SY
900,N193UW
901,N194AA
902,N194DN
903,N194SY
904,N194UW
905,N19554
906,N195AN
907,N195DN
908,N195PQ
909,N195SY
910,N195UW
911,N196AA
912,N196DN
913,N196SY
914,N196UW
915,N197AN
916,N197DN
917,N197JB
918,N197PQ
919,N197SY
920,N197UW
921,N198AA
922,N198DN
923,N198JB
924,N198SY
925,N198UW
926,N19951
927,N19986
928,N199AN
929,N199DN
930,N199SY
931,N199UW
932,N2002J
933,N200JB
934,N200NK
935,N200NN
936,N200NV
937,N200PQ
938,N200SY
939,N200UU
940,N200WN
941,N2016J
942,N2017J
943,N201FR
944,N201JB
945,N201JQ
946,N201LV
947,N201NN
948,N201UU
949,N2027J
950,N2029J
951,N202FR
952,N202HA
953,N202JB
954,N202JQ
955,N202NN
956,N202PS
957,N202SY
958,N202UW
959,N202WN
960,N2038J
961,N2039J
962,N203JB
963,N203JQ
964,N203NN
965,N203SY
966,N203UW
967,N203WN
968,N2043J
969,N2044J
970,N2047J
971,N2048J
972,N204HA
973,N204JQ
974,N204NN
975,N204SY
976,N204UA
977,N204UW
978,N204WN
979,N2059J
980,N205FR
981,N205HA
982,N205JQ
983,N205NN
984,N205SY
985,N205UW
986,N205WN
987,N2060J
988,N206FR
989,N206JB
990,N206JQ
991,N206NN
992,N206PS
993,N206SY
994,N206UA
995,N206UW
996,N206WN
997,N207AN
998,N207FR
999,N207JQ
1000,N207PS
1001,N207SY
1002,N207UW
1003,N207WN
1004,N2084J
1005,N2086J
1006,N208AN
1007,N208HA
1008,N208JQ
1009,N208SY
1010,N208WN
1011,N20904
1012,N209HA
1013,N209JQ
1014,N209NN
1015,N209PS
1016,N209SY
1017,N209UA
1018,N209WN
1019,N2102J
1020,N2105J
1021,N210FR
1022,N210JQ
1023,N210NN
1024,N210UA
1025,N210WN
1026,N21108
1027,N211FR
1028,N211JQ
1029,N211NN
1030,N211SY
1031,N211UA
1032,N211WN
1033,N212HA
1034,N212JQ
1035,N212NN
1036,N212UA
1037,N212WN
1038,N2135U
1039,N2136U
1040,N2138U
1041,N213FR
1042,N213HA
1043,N213JQ
1044,N213NN
1045,N213PS
1046,N213SY
1047,N213UA
1048,N213WN
1049,N2140U
1050,N2142J
1051,N2142U
1052,N214AK
1053,N214HA
1054,N214JQ
1055,N214NN
1056,N214UA
1057,N214WN
1058,N2151J
1059,N21537
1060,N2156J
1061,N2157J
1062,N215AK
1063,N215HA
1064,N215JQ
1065,N215NN
1066,N215PS
1067,N215UA
1068,N215WN
1069,N2165J
1070,N2169J
1071,N216FR
1072,N216HA
1073,N216JB
1074,N216JQ
1075,N216NN
1076,N216PS
1077,N216UA
1078,N216WR
1079,N21723
1080,N217HA
1081,N217JC
1082,N217JQ
1083,N217NN
1084,N217UA
1085,N2180J
1086,N2188J
1087,N218HA
1088,N218JQ
1089,N218NN
1090,N218PS
1091,N218UA
1092,N218WN
1093,N2193J
1094,N219NN
1095,N219UA
1096,N219WN
1097,N219YX
1098,N220FR
1099,N220HA
1100,N220JQ
1101,N220NN
1102,N220PS
1103,N220UA
1104,N220WN
1105,N221FR
1106,N221JQ
1107,N221NN
1108,N221PS
1109,N221UA
1110,N221WN
1111,N222JQ
1112,N222NS
1113,N222UA
1114,N222WN
1115,N223FR
1116,N223HA
1117,N223JQ
1118,N223JS
1119,N223NN
1120,N223UA
1121,N223WN
1122,N2243U
1123,N224AK
1124,N224JQ
1125,N224NN
1126,N224UA
1127,N224WN
1128,N2250U
1129,N2251U
1130,N225AG
1131,N225JQ
1132,N225NN
1133,N225UA
1134,N225WN
1135,N226HA
1136,N226JQ
1137,N226JS
1138,N226NN
1139,N226UA
1140,N226WN
1141,N227FR
1142,N227HA
1143,N227JQ
1144,N227NN
1145,N227UA
1146,N227WN
1147,N228FR
1148,N228HA
1149,N228JB
1150,N228JQ
1151,N228NN
1152,N228PQ
1153,N228PS
1154,N228UA
1155,N228WN
1156,N22909
1157,N22992
1158,N22995
1159,N229FR
1160,N229JB
1161,N229JQ
1162,N229NN
1163,N229PS
1164,N229UA
1165,N229WN
1166,N230FR
1167,N230HA
1168,N230JQ
1169,N230NN
1170,N230PS
1171,N230WN
1172,N23139
1173,N231AN
1174,N231JB
1175,N231JQ
1176,N231WN
1177,N232FR
1178,N232JQ
1179,N232NN
1180,N232PQ
1181,N232WN
1182,N2331U
1183,N2332U
1184,N2333U
1185,N233FR
1186,N233JQ
1187,N233LV
1188,N233NN
1189,N2341U
1190,N234JQ
1191,N234JW
1192,N234WN
1193,N2352U
1194,N235FR
1195,N235JQ
1196,N235NN
1197,N235WN
1198,N236AK
1199,N236FR
1200,N236JB
1201,N236JQ
1202,N236NN
1203,N236WN
1204,N23707
1205,N23708
1206,N23721
1207,N237AK
1208,N237JQ
1209,N237NN
1210,N237PS
1211,N237WN
1212,N238AK
1213,N238FR
1214,N238JB
1215,N238JQ
1216,N238NN
1217,N238WN
1218,N23983
1219,N23994
1220,N239JB
1221,N239JQ
1222,N239NN
1223,N239WN
1224,N240JQ
1225,N240NN
1226,N240SY
1227,N240WN
1228,N24103
1229,N241JQ
1230,N241LR
1231,N241NN
1232,N241PS
1233,N241SY
1234,N241WN
1235,N24202
1236,N24211
1237,N24212
1238,N24224
1239,N242JQ
1240,N242JS
1241,N242LR
1242,N242NN
1243,N242SY
1244,N242WN
1245,N243JQ
1246,N243LR
1247,N243NN
1248,N243SY
1249,N243WN
1250,N244JQ
1251,N244LR
1252,N244NN
1253,N244PS
1254,N244SY
1255,N244WN
1256,N24505
1257,N24508
1258,N24510
1259,N24513
1260,N24514
1261,N24516
1262,N24519
1263,N24526
1264,N24537
1265,N24542
1266,N24555
1267,N245JQ
1268,N245LR
1269,N245NN
1270,N245PS
1271,N245WN
1272,N246JQ
1273,N246LR
1274,N246LV
1275,N246NN
1276,N246PS
1277,N246SY
1278,N24702
1279,N24706
1280,N24715
1281,N24729
1282,N24736
1283,N247AK
1284,N247JB
1285,N247JS
1286,N247LR
1287,N247NN
1288,N247SY
1289,N247WN
1290,N248AK
1291,N248LR
1292,N248NN
1293,N248PS
1294,N248WN
1295,N24972
1296,N24973
1297,N24974
1298,N24976
1299,N24979
1300,N24980
1301,N24988
1302,N24990
1303,N24993
1304,N249JB
1305,N249LR
1306,N249NN
1307,N249PS
1308,N249WN
1309,N250NN
1310,N250PS
1311,N250SY
1312,N250WN
1313,N25134
1314,N251AK
1315,N251NN
1316,N251PS
1317,N251SY
1318,N251WN
1319,N25201
1320,N252NN
1321,N252SY
1322,N252WN
1323,N2534U
1324,N253AK
1325,N253NN
1326,N253PS
1327,N253SY
1328,N253WN
1329,N254NN
1330,N254PS
1331,N254SY
1332,N254WN
1333,N255NN
1334,N255SY
1335,N255WN
1336,N256NN
1337,N256PS
1338,N256SY
1339,N256WN
1340,N25705
1341,N257NN
1342,N257PS
1343,N257SY
1344,N257WN
1345,N258JB
1346,N258NN
1347,N258PS
1348,N258SY
