airportId,airportCode,cityName,stateCode,airportName,latitude,longitude,faaHubCategory,timeZone
0,UNKNOWN,Unknown City,XX,Unresolved / Missing Airport,,,UNKNOWN,UNKNOWN
24,ATL,Atlanta,GA,Hartsfield - Jackson Atlanta International,33.6407,-84.4277,Large Hub,America/New_York
27,AUS,Austin,TX,Austin Bergstrom International,30.1975,-97.6664,Large Hub,America/Chicago
50,BOS,Boston,MA,General Edward Lawrence Logan International,42.3656,-71.0096,Large Hub,America/New_York
79,CLT,Charlotte,NC,Charlotte/Douglas International,35.214,-80.9431,Large Hub,America/New_York
98,DCA,Washington,VA,Washington Reagan National,,,Non-Hub / Regional,America/New_York
101,DEN,Denver,CO,Denver International,39.8561,-104.6737,Large Hub,America/Denver
102,DFW,Dallas/Fort Worth,TX,Dallas-Fort Worth International,32.8998,-97.0403,Large Hub,America/Chicago
110,DTW,Detroit,MI,Detroit Metropolitan Wayne County,42.2162,-83.3554,Large Hub,America/New_York
125,EWR,Newark,NJ,Newark Liberty International,40.6895,-74.1745,Large Hub,America/New_York
176,IAD,Washington,VA,Washington-Dulles International,38.9531,-77.4565,Large Hub,America/New_York
178,IAH,Houston,TX,George Bush Intercontinental/Houston,29.9902,-95.3368,Large Hub,America/Chicago
195,JFK,New York,NY,John F. Kennedy International,40.6413,-73.7781,Large Hub,America/New_York
205,LAS,Las Vegas,NV,Harry Reid International Airport,36.084,-115.1537,Large Hub,America/Los_Angeles
207,LAX,Los Angeles,CA,Los Angeles International,33.9416,-118.4085,Large Hub,America/Los_Angeles
216,LGA,New York,NY,LaGuardia,,,Non-Hub / Regional,America/New_York
229,MCO,Orlando,FL,Orlando International,28.4312,-81.3081,Large Hub,America/New_York
241,MIA,Miami,FL,Miami International,25.7959,-80.287,Large Hub,America/New_York
254,MSP,Minneapolis,MN,Minneapolis-St Paul International/Wold-Chamberlain,44.8848,-93.2223,Large Hub,America/Chicago
268,ORD,Chicago,IL,Chicago O'Hare International,41.9742,-87.9073,Large Hub,America/Chicago
282,PHL,Philadelphia,PA,Philadelphia International,39.8729,-75.2437,Large Hub,America/New_York
283,PHX,Phoenix,AZ,Phoenix Sky Harbor International,33.4342,-112.008,Large Hub,America/Phoenix
331,SEA,Seattle,WA,Seattle-Tacoma International,47.4502,-122.3088,Large Hub,America/Los_Angeles
333,SFO,San Francisco,CA,San Francisco International,37.6213,-122.379,Large Hub,America/Los_Angeles
343,SLC,Salt Lake City,UT,Salt Lake City International,40.7899,-111.9791,Large Hub,America/Denver
365,TPA,Tampa,FL,Tampa International,27.9755,-82.5332,Large Hub,America/New_York
