checkpointId,airportId,airportCode,checkpointName,checkpointSlug,totalRecords,totalThroughput,firstSeen,lastSeen
0,0,UNKNOWN,Unresolved Checkpoint,UNKNOWN - Unresolved Checkpoint,22190,9719091,20190120,20260103
203,24,ATL,A1,ATL - A1,70,1087,20190102,20260509
204,24,ATL,A2,ATL - A2,4,15,20190102,20190108
205,24,ATL,ATL-,ATL - ATL-,87,42556,20220403,20251114
206,24,ATL,ATL-GA,ATL - ATL-GA,771,278127,20260111,20260328
207,24,ATL,AUS01,ATL - AUS01,83,18090,20190101,20260508
208,24,ATL,AUS02,ATL - AUS02,22,4144,20190102,20190703
209,24,ATL,AUS02E,ATL - AUS02E,7,337,20220503,20220703
210,24,ATL,AUS03,ATL - AUS03,20,1241,20190102,20190119
211,24,ATL,Arrival Checkpoint,ATL - Arrival Checkpoint,47649,12771748,20190102,20260611
212,24,ATL,B5,ATL - B5,2,11,20190113,20200222
213,24,ATL,C2,ATL - C2,5,122,20190112,20220515
214,24,ATL,Checkpoint,ATL - Checkpoint,97,392,20190112,20220129
215,24,ATL,Concourse A,ATL - Concourse A,175,134,20211110,20221203
216,24,ATL,Concourse Checkpoint,ATL - Concourse Checkpoint,17181,9547128,20190102,20260612
217,24,ATL,Departure Checkpoint,ATL - Departure Checkpoint,42552,18740309,20190101,20260611
218,24,ATL,E2,ATL - E2,3,309,20190112,20190116
219,24,ATL,Employee Checkpoint,ATL - Employee Checkpoint,1,76,20190314,20190314
220,24,ATL,F Departure Checkpoint,ATL - F Departure Checkpoint,3,274,20190102,20190118
221,24,ATL,Lower North Checkpoint,ATL - Lower North Checkpoint,19568,8778934,20221118,20260611
222,24,ATL,Main Checkpoint,ATL - Main Checkpoint,57431,58075590,20190101,20260613
223,24,ATL,New T North Checkpoint,ATL - New T North Checkpoint,40423,22140806,20190101,20260611
224,24,ATL,North Checkpoint,ATL - North Checkpoint,1,6,20220730,20220730
225,24,ATL,Private Terminal,ATL - Private Terminal,6749,18310,20230827,20260613
226,24,ATL,South Checkpoint,ATL - South Checkpoint,38635,30815358,20190101,20260611
227,24,ATL,T South Checkpoint,ATL - T South Checkpoint,7,2245,20190105,20190115
228,24,ATL,Terminal 2 - South - Main Checkpoint,ATL - Terminal 2 - South - Main Checkpoint,4,134,20190112,20190118
229,24,ATL,US01,ATL - US01,1,4,20190105,20190105
