marketId,originAirportId,destAirportId,originAirportCode,destAirportCode,nonStopMiles,distanceGroup
1115,24,27,ATL,AUS,813,2
1126,24,50,ATL,BOS,946,2
1142,24,79,ATL,CLT,226,1
1151,24,98,ATL,DCA,547,2
1152,24,101,ATL,DEN,1199,3
1153,24,102,ATL,DFW,731,2
1157,24,110,ATL,DTW,594,2
1163,24,125,ATL,EWR,746,2
1191,24,176,ATL,IAD,534,2
1192,24,178,ATL,IAH,689,2
1201,24,195,ATL,JFK,760,2
1204,24,205,ATL,LAS,1747,4
1205,24,207,ATL,LAX,1947,4
1209,24,216,ATL,LGA,762,2
1216,24,229,ATL,MCO,404,1
1223,24,241,ATL,MIA,594,2
1230,24,254,ATL,MSP,907,2
1240,24,268,ATL,ORD,606,2
1245,24,282,ATL,PHL,666,2
1246,24,283,ATL,PHX,1587,4
1269,24,331,ATL,SEA,2182,5
1270,24,333,ATL,SFO,2139,5
1275,24,343,ATL,SLC,1590,4
1286,24,365,ATL,TPA,406,1
1484,27,24,AUS,ATL,813,2
1496,27,50,AUS,BOS,1698,4
1512,27,79,AUS,CLT,1032,3
1521,27,98,AUS,DCA,1315,3
1522,27,101,AUS,DEN,775,2
1523,27,102,AUS,DFW,190,1
1527,27,110,AUS,DTW,1149,3
1533,27,125,AUS,EWR,1504,4
1561,27,176,AUS,IAD,1297,3
1562,27,178,AUS,IAH,140,1
1571,27,195,AUS,JFK,1521,4
1574,27,205,AUS,LAS,1090,3
1575,27,207,AUS,LAX,1242,3
1579,27,216,AUS,LGA,1520,4
1586,27,229,AUS,MCO,994,2
1593,27,241,AUS,MIA,1103,3
1600,27,254,AUS,MSP,1042,3
1610,27,268,AUS,ORD,977,2
1615,27,282,AUS,PHL,1430,3
1616,27,283,AUS,PHX,872,2
1639,27,331,AUS,SEA,1770,4
1640,27,333,AUS,SFO,1504,4
1645,27,343,AUS,SLC,1086,3
1656,27,365,AUS,TPA,928,2
3506,50,24,BOS,ATL,946,2
3508,50,27,BOS,AUS,1698,4
3534,50,79,BOS,CLT,728,2
3543,50,98,BOS,DCA,399,1
3544,50,101,BOS,DEN,1754,4
3545,50,102,BOS,DFW,1562,4
3549,50,110,BOS,DTW,632,2
3555,50,125,BOS,EWR,200,1
3583,50,176,BOS,IAD,413,1
3584,50,178,BOS,IAH,1597,4
3593,50,195,BOS,JFK,187,1
3596,50,205,BOS,LAS,2381,5
3597,50,207,BOS,LAX,2611,6
3601,50,216,BOS,LGA,184,1
3608,50,229,BOS,MCO,1121,3
3615,50,241,BOS,MIA,1258,3
3622,50,254,BOS,MSP,1124,3
3632,50,268,BOS,ORD,867,2
3637,50,282,BOS,PHL,280,1
3638,50,283,BOS,PHX,2300,5
3661,50,331,BOS,SEA,2496,5
3662,50,333,BOS,SFO,2704,6
3667,50,343,BOS,SLC,2105,5
3678,50,365,BOS,TPA,1185,3
6417,79,24,CLT,ATL,226,1
6419,79,27,CLT,AUS,1032,3
6430,79,50,CLT,BOS,728,2
6454,79,98,CLT,DCA,331,1
6455,79,101,CLT,DEN,1337,3
6456,79,102,CLT,DFW,936,2
6460,79,110,CLT,DTW,500,2
6466,79,125,CLT,EWR,529,2
6494,79,176,CLT,IAD,322,1
6495,79,178,CLT,IAH,912,2
6504,79,195,CLT,JFK,541,2
6507,79,205,CLT,LAS,1916,4
6508,79,207,CLT,LAX,2125,5
6512,79,216,CLT,LGA,544,2
6519,79,229,CLT,MCO,468,1
6526,79,241,CLT,MIA,650,2
6533,79,254,CLT,MSP,930,2
6543,79,268,CLT,ORD,599,2
6548,79,282,CLT,PHL,449,1
6549,79,283,CLT,PHX,1773,4
6572,79,331,CLT,SEA,2279,5
6573,79,333,CLT,SFO,2296,5
6578,79,343,CLT,SLC,1727,4
6589,79,365,CLT,TPA,507,2
8054,98,24,DCA,ATL,547,2
8056,98,27,DCA,AUS,1315,3
8067,98,50,DCA,BOS,399,1
8083,98,79,DCA,CLT,331,1
8092,98,101,DCA,DEN,1476,3
8093,98,102,DCA,DFW,1192,3
8097,98,110,DCA,DTW,405,1
8103,98,125,DCA,EWR,199,1
8131,98,176,DCA,IAD,24,1
8132,98,178,DCA,IAH,1208,3
8141,98,195,DCA,JFK,213,1
8144,98,205,DCA,LAS,2089,5
8145,98,207,DCA,LAX,2311,5
8149,98,216,DCA,LGA,214,1
8156,98,229,DCA,MCO,759,2
8163,98,241,DCA,MIA,919,2
8170,98,254,DCA,MSP,931,2
8180,98,268,DCA,ORD,612,2
8185,98,282,DCA,PHL,119,1
8186,98,283,DCA,PHX,1979,4
8209,98,331,DCA,SEA,2329,5
8210,98,333,DCA,SFO,2442,5
8215,98,343,DCA,SLC,1851,4
8226,98,365,DCA,TPA,814,2
8240,101,24,DEN,ATL,1199,3
8242,101,27,DEN,AUS,775,2
8253,101,50,DEN,BOS,1754,4
8269,101,79,DEN,CLT,1337,3
8278,101,98,DEN,DCA,1476,3
8279,101,102,DEN,DFW,641,2
8283,101,110,DEN,DTW,1123,3
8289,101,125,DEN,EWR,1605,4
8317,101,176,DEN,IAD,1452,3
8318,101,178,DEN,IAH,862,2
8327,101,195,DEN,JFK,1626,4
8330,101,205,DEN,LAS,628,2
8331,101,207,DEN,LAX,862,2
8335,101,216,DEN,LGA,1620,4
8342,101,229,DEN,MCO,1546,4
8349,101,241,DEN,MIA,1709,4
8356,101,254,DEN,MSP,680,2
8366,101,268,DEN,ORD,888,2
8371,101,282,DEN,PHL,1558,4
8372,101,283,DEN,PHX,602,2
8395,101,331,DEN,SEA,1024,3
8396,101,333,DEN,SFO,967,2
8401,101,343,DEN,SLC,391,1
8412,101,365,DEN,TPA,1506,4
8426,102,24,DFW,ATL,731,2
8428,102,27,DFW,AUS,190,1
8439,102,50,DFW,BOS,1562,4
8455,102,79,DFW,CLT,936,2
8464,102,98,DFW,DCA,1192,3
8465,102,101,DFW,DEN,641,2
8469,102,110,DFW,DTW,986,2
8475,102,125,DFW,EWR,1372,3
8503,102,176,DFW,IAD,1172,3
8504,102,178,DFW,IAH,224,1
8513,102,195,DFW,JFK,1391,3
8516,102,205,DFW,LAS,1055,3
8517,102,207,DFW,LAX,1235,3
8521,102,216,DFW,LGA,1389,3
8528,102,229,DFW,MCO,985,2
8535,102,241,DFW,MIA,1121,3
8542,102,254,DFW,MSP,852,2
8552,102,268,DFW,ORD,801,2
8557,102,282,DFW,PHL,1303,3
8558,102,283,DFW,PHX,868,2
8581,102,331,DFW,SEA,1660,4
8582,102,333,DFW,SFO,1464,3
8587,102,343,DFW,SLC,989,2
8598,102,365,DFW,TPA,929,2
9159,110,24,DTW,ATL,594,2
9161,110,27,DTW,AUS,1149,3
9172,110,50,DTW,BOS,632,2
9188,110,79,DTW,CLT,500,2
9197,110,98,DTW,DCA,405,1
9198,110,101,DTW,DEN,1123,3
9199,110,102,DTW,DFW,986,2
9208,110,125,DTW,EWR,488,1
9236,110,176,DTW,IAD,383,1
9237,110,178,DTW,IAH,1075,3
9246,110,195,DTW,JFK,509,2
9249,110,205,DTW,LAS,1749,4
9250,110,207,DTW,LAX,1979,4
9254,110,216,DTW,LGA,502,2
9261,110,229,DTW,MCO,957,2
9268,110,241,DTW,MIA,1145,3
9275,110,254,DTW,MSP,528,2
9285,110,268,DTW,ORD,235,1
9290,110,282,DTW,PHL,453,1
9291,110,283,DTW,PHX,1671,4
9314,110,331,DTW,SEA,1927,4
9315,110,333,DTW,SFO,2079,5
9320,110,343,DTW,SLC,1481,3
9331,110,365,DTW,TPA,983,2
10253,125,24,EWR,ATL,746,2
10255,125,27,EWR,AUS,1504,4
10266,125,50,EWR,BOS,200,1
10282,125,79,EWR,CLT,529,2
10291,125,98,EWR,DCA,199,1
10292,125,101,EWR,DEN,1605,4
10293,125,102,EWR,DFW,1372,3
10297,125,110,EWR,DTW,488,1
10303,125,125,EWR,EWR,0,1
10331,125,176,EWR,IAD,212,1
10332,125,178,EWR,IAH,1400,3
10341,125,195,EWR,JFK,21,1
10344,125,205,EWR,LAS,2227,5
10345,125,207,EWR,LAX,2454,5
10349,125,216,EWR,LGA,17,1
10356,125,229,EWR,MCO,937,2
10363,125,241,EWR,MIA,1085,3
10370,125,254,EWR,MSP,1008,3
10380,125,268,EWR,ORD,719,2
10384,125,282,EWR,PHL,80,1
10385,125,283,EWR,PHX,2133,5
10408,125,331,EWR,SEA,2402,5
10409,125,333,EWR,SFO,2565,6
10414,125,343,EWR,SLC,1969,4
10425,125,365,EWR,TPA,997,2
15342,176,24,IAD,ATL,534,2
15344,176,27,IAD,AUS,1297,3
15355,176,50,IAD,BOS,413,1
15371,176,79,IAD,CLT,322,1
15380,176,98,IAD,DCA,24,1
15381,176,101,IAD,DEN,1452,3
15382,176,102,IAD,DFW,1172,3
15386,176,110,IAD,DTW,383,1
