airport_code,airport_name,city,state,operational_archetype,scheduled_flights,cancelled_flights,cancellation_rate_pct,avg_dep_delay_minutes,flights_delayed_15min_pct,avg_taxi_out_minutes,total_tsa_passengers,avg_daily_tsa_passengers,avg_hourly_tsa_passengers,peak_single_hour_tsa_rush,connecting_passenger_share_pct,local_originating_share_pct,true_local_originating_tsa_demand,aircraft_gauge_seats,route_load_factor_pct,otp_departure_delay_volatility_cv,otp_cancellation_volatility_cv,tsa_daily_throughput_volatility_cv,tsa_hourly_throughput_volatility_cv,tsa_peak_to_median_surge_ratio
ORD,Chicago O'Hare International,Chicago,IL,Mega Connecting Hub (Very high passenger volumes with heavy connecting flight transfers),360571,5295,1.47,16.36,22.59,21.97,63598273,47426.0,239.6,2441,60.0,40.0,20549778,168.0,84.81,1.29,2.84,0.43,0.833,2.83
ATL,Hartsfield - Jackson Atlanta International,Atlanta,GA,Mega Connecting Hub (Very high passenger volumes with heavy connecting flight transfers),329245,3627,1.1,13.34,21.9,17.05,100642817,75275.1,610.1,4106,70.09,29.91,15292842,179.8,86.37,1.43,3.61,0.196,0.672,1.46
DFW,Dallas-Fort Worth International,Dallas/Fort Worth,TX,Mega Connecting Hub (Very high passenger volumes with heavy connecting flight transfers),325555,6515,2.0,19.85,28.07,18.58,90478800,67471.1,255.4,1482,66.32,33.68,15995278,171.1,85.26,1.14,2.93,0.165,0.547,1.47
LAX,Los Angeles International,Los Angeles,CA,Mega Connecting Hub (Very high passenger volumes with heavy connecting flight transfers),277433,2760,0.99,11.99,17.93,18.45,129069341,96248.6,441.6,2887,39.59,60.41,26293897,182.3,86.06,0.87,3.05,0.146,0.511,1.28
DEN,Denver International,Denver,CO,Mega Connecting Hub (Very high passenger volumes with heavy connecting flight transfers),233356,2683,1.15,14.74,21.3,19.12,77299622,57643.3,1227.2,4405,66.35,33.65,11856279,177.3,85.16,1.04,3.14,0.254,0.705,1.62
CLT,Charlotte/Douglas International,Charlotte,NC,High Local Demand Airport (Most passengers start locally and pass through TSA security),227198,3104,1.37,16.41,24.46,19.2,28174107,21009.8,493.3,2101,76.04,23.96,7702708,169.5,83.48,1.19,3.14,0.339,0.603,2.29
MIA,Miami International,Miami,FL,Mega Connecting Hub (Very high passenger volumes with heavy connecting flight transfers),217894,3450,1.58,19.62,26.51,21.05,87974423,65603.6,336.4,2187,50.73,49.27,16164435,176.0,85.55,1.1,3.05,0.148,0.624,1.39
IAH,George Bush Intercontinental/Houston,Houston,TX,High Local Demand Airport (Most passengers start locally and pass through TSA security),209172,2920,1.4,15.72,22.12,19.63,66010894,49225.1,388.4,2654,50.23,49.77,14547366,165.9,84.23,1.3,3.43,0.166,0.56,1.38
EWR,Newark Liberty International,Newark,NJ,"Congested Coastal Airport (Restricted airspace, smaller regional planes, and chronic flight delays)",206024,4626,2.25,18.32,24.65,24.67,87735124,65474.0,584.1,4020,33.58,66.42,20116584,170.7,86.12,1.24,2.55,0.163,0.648,1.27
SFO,San Francisco International,San Francisco,CA,Mega Connecting Hub (Very high passenger volumes with heavy connecting flight transfers),202702,2144,1.06,12.55,19.43,20.18,86485089,65173.4,453.1,2803,40.23,59.77,19031374,182.4,86.12,1.17,2.82,0.152,0.522,1.34
MCO,Orlando International,Orlando,FL,Mega Connecting Hub (Very high passenger volumes with heavy connecting flight transfers),184346,3118,1.69,16.17,20.96,19.18,100027448,74814.8,1012.0,3974,55.44,44.56,13092334,185.5,85.92,1.07,3.33,0.185,0.67,1.37
PHX,Phoenix Sky Harbor International,Phoenix,AZ,High-Reliability Fortress Hub (Major airline fortress with smooth operations and low delays),183386,1676,0.91,10.67,16.98,16.63,74107051,55262.5,548.4,2628,56.7,43.3,12132785,179.8,84.98,0.88,3.33,0.17,0.656,1.52
BOS,General Edward Lawrence Logan International,Boston,MA,High Local Demand Airport (Most passengers start locally and pass through TSA security),177182,2556,1.44,13.86,19.49,20.63,63720916,47552.9,576.1,2613,35.69,64.31,16182410,165.6,85.76,1.41,2.86,0.232,0.579,1.77
MSP,Minneapolis-St Paul International/Wold-Chamberlain,Minneapolis,MN,High-Reliability Fortress Hub (Major airline fortress with smooth operations and low delays),171104,1743,1.02,10.11,17.39,17.65,48387666,36083.3,470.4,2323,54.4,45.6,11046544,166.8,84.88,1.47,3.28,0.199,0.757,1.49
LGA,LaGuardia,New York,NY,"Congested Coastal Airport (Restricted airspace, smaller regional planes, and chronic flight delays)",164909,4056,2.46,15.65,20.14,24.03,53034753,39607.7,662.4,3764,44.41,55.59,11975988,154.2,84.72,1.54,2.7,0.378,0.811,1.41
DTW,Detroit Metropolitan Wayne County,Detroit,MI,High-Reliability Fortress Hub (Major airline fortress with smooth operations and low delays),161967,1777,1.1,11.55,18.43,16.96,46233019,34502.2,280.1,1385,53.01,46.99,10555299,165.4,83.85,1.31,2.85,0.167,0.701,1.45
LAS,Harry Reid International Airport,Las Vegas,NV,High-Reliability Fortress Hub (Major airline fortress with smooth operations and low delays),157059,1747,1.11,12.29,17.55,19.48,91959127,68575.0,584.4,2901,66.47,33.53,7880847,179.2,83.51,0.95,3.36,0.209,0.593,1.71
PHL,Philadelphia International,Philadelphia,PA,High-Reliability Fortress Hub (Major airline fortress with smooth operations and low delays),138372,2101,1.52,13.77,19.33,20.35,40429531,30171.3,339.1,2807,44.21,55.79,11172451,172.6,83.85,1.21,2.72,0.221,0.608,2.24
SLC,Salt Lake City International,Salt Lake City,UT,High-Reliability Fortress Hub (Major airline fortress with smooth operations and low delays),134725,1211,0.9,10.8,17.76,18.16,32250281,24049.4,959.5,3103,57.55,42.45,8258684,168.6,85.65,1.17,3.47,0.178,0.596,1.51
JFK,John F. Kennedy International,New York,NY,"Congested Coastal Airport (Restricted airspace, smaller regional planes, and chronic flight delays)",133151,1891,1.42,14.25,19.46,26.7,116009987,86510.1,633.6,3222,34.24,65.76,12530901,167.5,85.44,1.32,2.78,0.167,0.542,1.32
DCA,Washington Reagan National,Washington,VA,High Local Demand Airport (Most passengers start locally and pass through TSA security),132994,2703,2.03,14.5,18.88,19.95,37658590,28103.4,641.7,3223,48.76,51.24,8521455,153.3,81.57,1.4,2.59,0.3,0.72,2.38
SEA,Seattle-Tacoma International,Seattle,WA,High-Reliability Fortress Hub (Major airline fortress with smooth operations and low delays),132809,1447,1.09,10.96,16.82,20.45,70832008,52820.3,514.5,2565,53.05,46.95,9078985,169.9,85.7,1.3,3.03,0.194,0.644,1.5
AUS,Austin Bergstrom International,Austin,TX,High Local Demand Airport (Most passengers start locally and pass through TSA security),126684,1848,1.46,15.25,18.76,16.23,37186991,27730.8,401.8,2008,40.19,59.81,9597832,156.5,80.94,1.19,3.37,0.204,0.605,1.59
TPA,Tampa International,Tampa,FL,High Local Demand Airport (Most passengers start locally and pass through TSA security),120321,2361,1.96,14.15,19.04,15.96,44030123,33006.1,452.0,1512,39.68,60.32,10617149,173.1,84.51,1.23,3.36,0.188,0.542,1.49
IAD,Washington-Dulles International,Washington,VA,High-Reliability Fortress Hub (Major airline fortress with smooth operations and low delays),95849,1100,1.15,12.32,17.79,20.02,39052297,29121.8,403.4,2480,47.81,52.19,7392883,176.4,83.78,1.31,2.98,0.202,0.826,1.6
