raw_dataset,airport_code,airport_name,city,state,scheduled_flights,cancelled_flights,cancellation_rate_pct,avg_delay_minutes,flights_delayed_15min_pct,taxi_out_minutes,total_tsa_passengers,avg_hourly_tsa_passengers,peak_hour_passengers,connecting_passengers_pct,local_originating_passengers_pct,true_local_tsa_demand,aircraft_seats_per_flight,flight_fullness_pct,operational_archetype,plain_language_description
"Multi-Source Combined (TSA, BTS OTP, BTS T-100, DB1C)",ATL,Hartsfield - Jackson Atlanta International,Atlanta,GA,329245,3627,1.10%,13.34,21.90%,17.05,100642817,610.08,4106,70.09%,29.91%,15292842,179.8,86.37%,Mega Connecting Hub (Very high passenger volumes with heavy connecting flight transfers),Busiest hub in the nation; 70% of travelers connect airside and never see TSA security.
"Multi-Source Combined (TSA, BTS OTP, BTS T-100, DB1C)",AUS,Austin Bergstrom International,Austin,TX,126684,1848,1.46%,15.25,18.76%,16.23,37186991,401.79,2008,40.19%,59.81%,9597832,156.5,80.94%,High Local Demand Airport (Most passengers start locally and pass through TSA security),Fast-growing focus city where 60% of passengers are local residents entering security.
"Multi-Source Combined (TSA, BTS OTP, BTS T-100, DB1C)",BOS,General Edward Lawrence Logan International,Boston,MA,177182,2556,1.44%,13.86,19.49%,20.63,63720916,576.12,2613,35.69%,64.31%,16182410,165.6,85.76%,High Local Demand Airport (Most passengers start locally and pass through TSA security),Major northeast origin airport with high local business travel (64% local passengers).
"Multi-Source Combined (TSA, BTS OTP, BTS T-100, DB1C)",CLT,Charlotte/Douglas International,Charlotte,NC,227198,3104,1.37%,16.41,24.46%,19.20,28174107,493.33,2101,76.04%,23.96%,7702708,169.5,83.48%,High Local Demand Airport (Most passengers start locally and pass through TSA security),Huge American Airlines connecting fortress where 76% of passengers transfer between gates.
"Multi-Source Combined (TSA, BTS OTP, BTS T-100, DB1C)",DCA,Washington Reagan National,Washington,VA,132994,2703,2.03%,14.50,18.88%,19.95,37658590,641.69,3223,48.76%,51.24%,8521455,153.3,81.57%,High Local Demand Airport (Most passengers start locally and pass through TSA security),Perimeter-restricted airport serving the nation capital with high local passenger share.
"Multi-Source Combined (TSA, BTS OTP, BTS T-100, DB1C)",DEN,Denver International,Denver,CO,233356,2683,1.15%,14.74,21.30%,19.12,77299622,1227.23,4405,66.35%,33.65%,11856279,177.3,85.16%,Mega Connecting Hub (Very high passenger volumes with heavy connecting flight transfers),Massive United connecting hub with high passenger volumes and 66% transfer traffic.
"Multi-Source Combined (TSA, BTS OTP, BTS T-100, DB1C)",DFW,Dallas-Fort Worth International,Dallas/Fort Worth,TX,325555,6515,2.00%,19.85,28.07%,18.58,90478800,255.42,1482,66.32%,33.68%,15995278,171.1,85.26%,Mega Connecting Hub (Very high passenger volumes with heavy connecting flight transfers),Primary American Airlines global fortress hub with heavy flight banks and 66% connecting traffic.
"Multi-Source Combined (TSA, BTS OTP, BTS T-100, DB1C)",DTW,Detroit Metropolitan Wayne County,Detroit,MI,161967,1777,1.10%,11.55,18.43%,16.96,46233019,280.09,1385,53.01%,46.99%,10555299,165.4,83.85%,High-Reliability Fortress Hub (Major airline fortress with smooth operations and low delays),Delta Midwestern fortress hub operating with low delays and high schedule reliability.
"Multi-Source Combined (TSA, BTS OTP, BTS T-100, DB1C)",EWR,Newark Liberty International,Newark,NJ,206024,4626,2.25%,18.32,24.65%,24.67,87735124,584.08,4020,33.58%,66.42%,20116584,170.7,86.12%,"Congested Coastal Airport (Restricted airspace, smaller regional planes, and chronic flight delays)",United primary New York gateway; suffers heavy taxi-out queues and flight delay congestion.
"Multi-Source Combined (TSA, BTS OTP, BTS T-100, DB1C)",IAD,Washington-Dulles International,Washington,VA,95849,1100,1.15%,12.32,17.79%,20.02,39052297,403.36,2480,47.81%,52.19%,7392883,176.4,83.78%,High-Reliability Fortress Hub (Major airline fortress with smooth operations and low delays),United mid-Atlantic international hub with balanced connecting and local passengers.
