raw_dataset,descriptive_metric,unit,mean,std_dev,median,min_value,min_airport,max_value,max_airport,plain_language_description
BTS Flight On-Time Performance (OTP),Scheduled Commercial Flights,flights,192160,69376,177182,95849,IAD,360571,ORD,Total number of scheduled airline flight departures.
BTS Flight On-Time Performance (OTP),Cancelled Flights,flights,2738,1305,2556,1100,IAD,6515,DFW,Number of scheduled flights that were cancelled and never took off.
BTS Flight On-Time Performance (OTP),Flight Cancellation Rate,percent,1.43,0.43,1.40,0.90,SLC,2.46,LGA,Percentage of scheduled flights that were cancelled.
BTS Flight On-Time Performance (OTP),Average Departure Delay,minutes,14.21,2.67,14.15,10.11,MSP,19.85,DFW,Average number of minutes flights departed late past their scheduled time.
BTS Flight On-Time Performance (OTP),Flights Delayed 15+ Minutes Rate,percent,20.31,3.01,19.43,16.82,SEA,28.07,DFW,Percentage of flights that were delayed by 15 minutes or more.
BTS Flight On-Time Performance (OTP),Runway Taxi-Out Queue Time,minutes,19.69,2.60,19.48,15.96,TPA,26.70,JFK,Average minutes airplanes waited in line on the tarmac between leaving the gate and takeoff.
TSA Checkpoint Hourly Throughput,Total TSA Passenger Throughput,passengers,68495531,27757709,66010894,28174107,CLT,129069341,LAX,Total number of passengers screened through TSA airport security checkpoints.
TSA Checkpoint Hourly Throughput,Average Hourly TSA Passenger Count,pax/hour,540.35,235.35,493.33,239.62,ORD,1227.23,DEN,Average number of passengers screened through checkpoints during an operating hour.
TSA Checkpoint Hourly Throughput,Hourly Demand Volatility (Std Dev),pax/hour,425.40,201.46,373.79,178.09,DFW,917.76,MCO,"Spread of hourly passenger counts around the average, showing how much traffic swings hour to hour."
TSA Checkpoint Hourly Throughput,Peak Single-Hour TSA Rush,pax/hour,2784,817,2654,1385,DTW,4405,DEN,The highest number of passengers screened during the single busiest hour on record.
BTS DB1B / DB1C Passenger Ticket Survey,Connecting Passenger Share,percent,51.39,11.74,50.73,33.58,EWR,76.04,CLT,Percentage of passengers who only transfer between gates and never walk through TSA security.
BTS DB1B / DB1C Passenger Ticket Survey,Local Originating Passenger Share,percent,48.61,11.74,49.27,23.96,CLT,66.42,EWR,Percentage of passengers who start their trip locally and must walk through TSA security.
BTS DB1B / DB1C Passenger Ticket Survey,True Local Originating TSA Demand,passengers,13103484,4719587,11975988,7392883,IAD,26293897,LAX,Calculated number of true local passengers walking into security after removing connecting travelers.
BTS Form 41 Schedule T-100 Segment Statistics,Airplane Passenger Capacity (Gauge),seats/flight,171.10,8.49,170.70,153.30,DCA,185.50,MCO,Average number of passenger seats on airplanes departing from the airport.
BTS Form 41 Schedule T-100 Segment Statistics,Flight Fullness (Load Factor),percent,84.73,1.36,84.98,80.94,AUS,86.37,ATL,Average percentage of airplane seats filled with paying passengers.
