seasonality_dimension,temporal_slice_id,temporal_slice_name,meteorological_or_operational_category,total_airport_days,mean_sched_flights,std_sched_flights,cv_sched_flights,mean_cancel_rate_pct,mean_depdel15_pct,mean_dep_delay_min,std_dep_delay_min,mean_taxi_out_min,mean_arr_delay_min,plain_language_operational_character
Day of Week (DOW Cycle),0,Sunday,Weekly Cyclical Demand,9125,423.83,214.74,0.5067,2.35,20.55,12.73,14.23,18.72,6.51,Leisure return inflow; highest weekly delay minutes and DepDel15 rate
Day of Week (DOW Cycle),1,Monday,Weekly Cyclical Demand,9125,432.75,218.87,0.5058,2.25,19.34,11.65,14.01,18.71,5.27,Corporate business outbound rush; elevated volume and delays
Day of Week (DOW Cycle),2,Tuesday,Weekly Cyclical Demand,9150,403.57,207.88,0.5151,2.03,16.09,8.3,12.56,18.37,1.38,Midweek operational reset; lowest departure delays of week
Day of Week (DOW Cycle),3,Wednesday,Weekly Cyclical Demand,9150,408.32,210.48,0.5155,2.18,16.55,8.79,12.37,18.74,2.42,Steady midweek schedule baseline
Day of Week (DOW Cycle),4,Thursday,Weekly Cyclical Demand,9125,429.64,219.66,0.5113,2.39,19.37,11.62,14.18,19.23,6.01,Long-weekend and corporate return outbound; highest taxi-out duration
Day of Week (DOW Cycle),5,Friday,Weekly Cyclical Demand,9125,432.59,219.42,0.5072,2.28,20.24,12.15,13.85,19.08,6.29,Combined corporate and weekend getaway peak; high delay rate
Day of Week (DOW Cycle),6,Saturday,Weekly Cyclical Demand,9125,373.53,191.58,0.5129,2.11,18.18,10.46,13.11,18.07,3.25,Operational volume trough; airline fleet and schedule recovery
Calendar Month (Annual Seasonality),1,January,Winter,5425,399.16,194.54,0.4874,2.65,17.93,10.24,15.01,19.39,4.24,"Winter blizzards, active aircraft deicing; longest taxi-out times"
Calendar Month (Annual Seasonality),2,February,Winter,4950,407.5,196.71,0.4827,2.32,17.7,9.9,13.88,19.45,3.9,"Winter blizzards, active aircraft deicing; longest taxi-out times"
Calendar Month (Annual Seasonality),3,March,Spring,5425,433.71,204.13,0.4707,3.56,17.56,9.33,12.16,18.47,3.33,Spring Break departure volume surge
Calendar Month (Annual Seasonality),4,April,Spring,5250,401.98,208.11,0.5177,6.47,16.94,9.05,13.12,17.89,3.05,Shoulder month transition (COVID April 2020 distortion)
Calendar Month (Annual Seasonality),5,May,Spring,5425,393.97,224.32,0.5694,1.55,18.42,10.74,13.66,18.12,4.74,Memorial Day kickoff; seasonal ramp-up
Calendar Month (Annual Seasonality),6,June,Summer,5250,413.55,230.55,0.5575,1.85,23.38,15.7,14.94,18.75,9.7,Convective squall lines and high schedule density
Calendar Month (Annual Seasonality),7,July,Summer,5425,429.28,222.08,0.5173,2.22,24.66,17.58,16.29,19.08,11.58,Annual delay and congestion peak across U.S. network
Calendar Month (Annual Seasonality),8,August,Summer,5425,429.62,220.31,0.5128,1.86,20.97,13.24,13.35,18.88,7.24,High summer leisure volume with afternoon thunderstorms
Calendar Month (Annual Seasonality),9,September,Autumn,5250,415.52,218.5,0.5259,1.1,14.73,7.13,10.36,18.37,1.13,Post-Labor Day demand drop; benign weather shoulder
Calendar Month (Annual Seasonality),10,October,Autumn,5425,423.59,217.52,0.5135,0.76,15.05,7.03,8.52,18.32,1.03,Annual optimal OTP performance window; lowest cancellations
Calendar Month (Annual Seasonality),11,November,Autumn,5250,418.36,207.93,0.497,0.8,14.7,6.83,9.72,18.53,0.83,Thanksgiving holiday surge amid stable fall weather
Calendar Month (Annual Seasonality),12,December,Winter,5425,411.39,202.25,0.4916,1.59,21.08,12.76,14.71,19.23,6.76,Winter holiday travel surge compounded by arctic winter storms
