airport_code,airport_name,operational_archetype,scheduled_flights,cancellation_rate_pct,avg_delay_minutes,flights_delayed_15min_pct,taxi_out_minutes,total_tsa_passengers,tsa_daily_mean_pax,tsa_daily_cv,tsa_hourly_cv,tsa_daily_peak_to_median,connecting_passengers_pct,local_originating_passengers_pct,true_local_tsa_demand,cv_dep_delay,cv_cancel_rate
ORD,Chicago O'Hare International,Mega Connecting Hub (Very high passenger volumes with heavy connecting flight transfers),360571,1.47,16.36,22.59,21.97,63598273,47426.01,0.4303,0.833,2.83,60.0,40.0,20549778,1.29,2.84
ATL,Hartsfield - Jackson Atlanta International,Mega Connecting Hub (Very high passenger volumes with heavy connecting flight transfers),329245,1.1,13.34,21.9,17.05,100642817,75275.11,0.1956,0.6715,1.46,70.09,29.91,15292842,1.43,3.61
DFW,Dallas-Fort Worth International,Mega Connecting Hub (Very high passenger volumes with heavy connecting flight transfers),325555,2.0,19.85,28.07,18.58,90478800,67471.14,0.1652,0.5468,1.47,66.32,33.68,15995278,1.14,2.93
LAX,Los Angeles International,Mega Connecting Hub (Very high passenger volumes with heavy connecting flight transfers),277433,0.99,11.99,17.93,18.45,129069341,96248.58,0.1458,0.5107,1.28,39.59,60.41,26293897,0.87,3.05
DEN,Denver International,Mega Connecting Hub (Very high passenger volumes with heavy connecting flight transfers),233356,1.15,14.74,21.3,19.12,77299622,57643.27,0.2545,0.7046,1.62,66.35,33.65,11856279,1.04,3.14
CLT,Charlotte/Douglas International,High Local Demand Airport (Most passengers start locally and pass through TSA security),227198,1.37,16.41,24.46,19.2,28174107,21009.77,0.3389,0.6028,2.29,76.04,23.96,7702708,1.19,3.14
MIA,Miami International,Mega Connecting Hub (Very high passenger volumes with heavy connecting flight transfers),217894,1.58,19.62,26.51,21.05,87974423,65603.6,0.1482,0.6236,1.39,50.73,49.27,16164435,1.1,3.05
IAH,George Bush Intercontinental/Houston,High Local Demand Airport (Most passengers start locally and pass through TSA security),209172,1.4,15.72,22.12,19.63,66010894,49225.13,0.1662,0.5603,1.38,50.23,49.77,14547366,1.3,3.43
EWR,Newark Liberty International,"Congested Coastal Airport (Restricted airspace, smaller regional planes, and chronic flight delays)",206024,2.25,18.32,24.65,24.67,87735124,65473.97,0.1626,0.6479,1.27,33.58,66.42,20116584,1.24,2.55
SFO,San Francisco International,Mega Connecting Hub (Very high passenger volumes with heavy connecting flight transfers),202702,1.06,12.55,19.43,20.18,86485089,65173.39,0.1522,0.5223,1.34,40.23,59.77,19031374,1.17,2.82
MCO,Orlando International,Mega Connecting Hub (Very high passenger volumes with heavy connecting flight transfers),184346,1.69,16.17,20.96,19.18,100027448,74814.85,0.1849,0.6699,1.37,55.44,44.56,13092334,1.07,3.33
PHX,Phoenix Sky Harbor International,High-Reliability Fortress Hub (Major airline fortress with smooth operations and low delays),183386,0.91,10.67,16.98,16.63,74107051,55262.53,0.1698,0.6563,1.52,56.7,43.3,12132785,0.88,3.33
BOS,General Edward Lawrence Logan International,High Local Demand Airport (Most passengers start locally and pass through TSA security),177182,1.44,13.86,19.49,20.63,63720916,47552.92,0.2325,0.5789,1.77,35.69,64.31,16182410,1.41,2.86
MSP,Minneapolis-St Paul International/Wold-Chamberlain,High-Reliability Fortress Hub (Major airline fortress with smooth operations and low delays),171104,1.02,10.11,17.39,17.65,48387666,36083.27,0.1992,0.7572,1.49,54.4,45.6,11046544,1.47,3.28
LGA,LaGuardia,"Congested Coastal Airport (Restricted airspace, smaller regional planes, and chronic flight delays)",164909,2.46,15.65,20.14,24.03,53034753,39607.73,0.3778,0.8106,1.41,44.41,55.59,11975988,1.54,2.7
DTW,Detroit Metropolitan Wayne County,High-Reliability Fortress Hub (Major airline fortress with smooth operations and low delays),161967,1.1,11.55,18.43,16.96,46233019,34502.25,0.1667,0.701,1.45,53.01,46.99,10555299,1.31,2.85
LAS,Harry Reid International Airport,High-Reliability Fortress Hub (Major airline fortress with smooth operations and low delays),157059,1.11,12.29,17.55,19.48,91959127,68575.04,0.2086,0.5933,1.71,66.47,33.53,7880847,0.95,3.36
PHL,Philadelphia International,High-Reliability Fortress Hub (Major airline fortress with smooth operations and low delays),138372,1.52,13.77,19.33,20.35,40429531,30171.29,0.2206,0.6076,2.24,44.21,55.79,11172451,1.21,2.72
SLC,Salt Lake City International,High-Reliability Fortress Hub (Major airline fortress with smooth operations and low delays),134725,0.9,10.8,17.76,18.16,32250281,24049.43,0.1781,0.5959,1.51,57.55,42.45,8258684,1.17,3.47
JFK,John F. Kennedy International,"Congested Coastal Airport (Restricted airspace, smaller regional planes, and chronic flight delays)",133151,1.42,14.25,19.46,26.7,116009987,86510.06,0.167,0.5422,1.32,34.24,65.76,12530901,1.32,2.78
DCA,Washington Reagan National,High Local Demand Airport (Most passengers start locally and pass through TSA security),132994,2.03,14.5,18.88,19.95,37658590,28103.43,0.3003,0.7204,2.38,48.76,51.24,8521455,1.4,2.59
SEA,Seattle-Tacoma International,High-Reliability Fortress Hub (Major airline fortress with smooth operations and low delays),132809,1.09,10.96,16.82,20.45,70832008,52820.29,0.194,0.6438,1.5,53.05,46.95,9078985,1.3,3.03
AUS,Austin Bergstrom International,High Local Demand Airport (Most passengers start locally and pass through TSA security),126684,1.46,15.25,18.76,16.23,37186991,27730.79,0.2045,0.6048,1.59,40.19,59.81,9597832,1.19,3.37
TPA,Tampa International,High Local Demand Airport (Most passengers start locally and pass through TSA security),120321,1.96,14.15,19.04,15.96,44030123,33006.09,0.1881,0.5425,1.49,39.68,60.32,10617149,1.23,3.36
