airportCode,airportName,operational_tier,n_hours,pct_operating_hours,tier_total_pax,pct_total_pax_volume,mean_hourly_pax,std_hourly_pax,cv_tier,median_hourly_pax,min_hourly_pax,max_hourly_pax
ATL,Hartsfield - Jackson Atlanta International,1. Off-Peak (< Q1),7891,25.0,1612621.0,1.6,204.36,208.06,1.0181,103.0,0.0,802.0
ATL,Hartsfield - Jackson Atlanta International,2. Mid-Peak (Q1 - Q3),15783,50.0,53345092.0,53.0,3379.91,995.27,0.2945,3557.0,803.0,4826.0
ATL,Hartsfield - Jackson Atlanta International,3. Peak (Q3 - P95),6312,20.0,34644747.0,34.42,5488.71,435.65,0.0794,5445.0,4827.0,6405.0
ATL,Hartsfield - Jackson Atlanta International,4. Events (> P95),1578,5.0,11040357.0,10.97,6996.42,506.62,0.0724,6840.0,6406.0,9392.0
AUS,Austin Bergstrom International,1. Off-Peak (< Q1),6925,25.0,1402972.0,3.77,202.6,202.48,0.9994,118.0,0.0,645.0
AUS,Austin Bergstrom International,2. Mid-Peak (Q1 - Q3),13852,50.01,19764388.0,53.15,1426.83,363.78,0.255,1488.0,646.0,1965.0
AUS,Austin Bergstrom International,3. Peak (Q3 - P95),5541,20.0,12220932.0,32.86,2205.55,158.48,0.0719,2187.0,1966.0,2529.0
AUS,Austin Bergstrom International,4. Events (> P95),1382,4.99,3798699.0,10.22,2748.7,186.83,0.068,2700.5,2530.0,3799.0
BOS,General Edward Lawrence Logan International,1. Off-Peak (< Q1),7099,25.0,3686651.0,5.79,519.32,416.37,0.8018,432.0,0.0,1299.0
BOS,General Edward Lawrence Logan International,2. Mid-Peak (Q1 - Q3),14205,50.02,32499833.0,51.0,2287.92,490.06,0.2142,2315.0,1300.0,3128.0
BOS,General Edward Lawrence Logan International,3. Peak (Q3 - P95),5676,19.99,20484103.0,32.15,3608.9,325.72,0.0903,3567.0,3129.0,4331.0
BOS,General Edward Lawrence Logan International,4. Events (> P95),1420,5.0,7050329.0,11.06,4965.02,556.9,0.1122,4804.0,4332.0,7341.0
CLT,Charlotte/Douglas International,1. Off-Peak (< Q1),6724,24.99,1809973.0,6.42,269.18,193.79,0.7199,235.0,0.0,628.0
CLT,Charlotte/Douglas International,2. Mid-Peak (Q1 - Q3),13468,50.06,13746539.0,48.79,1020.68,214.81,0.2105,1018.0,629.0,1418.0
CLT,Charlotte/Douglas International,3. Peak (Q3 - P95),5366,19.94,9175642.0,32.57,1709.96,207.26,0.1212,1675.0,1419.0,2188.0
CLT,Charlotte/Douglas International,4. Events (> P95),1346,5.0,3441953.0,12.22,2557.17,288.79,0.1129,2493.0,2189.0,3763.0
DCA,Washington Reagan National,1. Off-Peak (< Q1),7044,24.99,727914.0,1.93,103.34,130.0,1.258,26.0,0.0,471.0
DCA,Washington Reagan National,2. Mid-Peak (Q1 - Q3),14096,50.02,18935322.0,50.28,1343.31,379.28,0.2824,1392.0,472.0,1936.0
DCA,Washington Reagan National,3. Peak (Q3 - P95),5632,19.98,12894882.0,34.24,2289.57,259.84,0.1135,2234.0,1937.0,2914.0
DCA,Washington Reagan National,4. Events (> P95),1410,5.0,5100472.0,13.54,3617.36,547.57,0.1514,3500.0,2915.0,5695.0
DEN,Denver International,1. Off-Peak (< Q1),7706,24.99,2419396.0,3.13,313.96,246.67,0.7857,288.0,0.0,768.0
DEN,Denver International,2. Mid-Peak (Q1 - Q3),15429,50.04,38151452.0,49.36,2472.71,1036.57,0.4192,2605.0,769.0,4009.0
DEN,Denver International,3. Peak (Q3 - P95),6157,19.97,27926240.0,36.13,4535.69,340.87,0.0752,4496.0,4010.0,5247.0
DEN,Denver International,4. Events (> P95),1542,5.0,8802534.0,11.39,5708.52,382.25,0.067,5616.0,5248.0,7550.0
DFW,Dallas-Fort Worth International,1. Off-Peak (< Q1),7067,25.0,4717151.0,5.21,667.49,514.69,0.7711,570.0,0.0,1803.0
DFW,Dallas-Fort Worth International,2. Mid-Peak (Q1 - Q3),14140,50.02,48963850.0,54.12,3462.79,744.94,0.2151,3598.0,1804.0,4543.0
DFW,Dallas-Fort Worth International,3. Peak (Q3 - P95),5646,19.97,28247557.0,31.22,5003.11,305.53,0.0611,4966.0,4544.0,5638.0
DFW,Dallas-Fort Worth International,4. Events (> P95),1413,5.0,8550242.0,9.45,6051.13,368.37,0.0609,5940.0,5639.0,7963.0
DTW,Detroit Metropolitan Wayne County,1. Off-Peak (< Q1),8006,25.0,589260.0,1.27,73.6,78.5,1.0665,40.0,0.0,339.0
DTW,Detroit Metropolitan Wayne County,2. Mid-Peak (Q1 - Q3),16018,50.02,24176095.0,52.29,1509.31,509.47,0.3376,1629.0,340.0,2207.0
DTW,Detroit Metropolitan Wayne County,3. Peak (Q3 - P95),6399,19.98,16165159.0,34.96,2526.2,218.62,0.0865,2490.0,2208.0,3007.0
