attribute_1,attribute_2,description,pearson_r,r_squared_pct,t_statistic,p_value_est,statistical_significance
scheduled_flights,total_tsa_passengers,Raw Flight Departures vs Total Screened Passengers,0.4572,20.9,2.47,< 0.05,Significant (p < 0.05)
scheduled_flights,true_local_tsa_demand,Raw Flight Departures vs True Local Originating TSA Demand,0.6704,44.94,4.33,< 0.001,Significant (p < 0.05)
local_originating_passengers_pct,total_tsa_passengers,Local Originating Share % vs Total Screened Passengers,0.0837,0.7,0.4,0.6871,Not Significant (p >= 0.05)
connecting_passengers_pct,total_tsa_passengers,Connecting Passenger Share % vs Total Screened Passengers,-0.0837,0.7,-0.4,0.6871,Not Significant (p >= 0.05)
connecting_passengers_pct,scheduled_flights,Connecting Passenger Share % vs Scheduled Flight Departures,0.4503,20.28,2.42,< 0.05,Significant (p < 0.05)
avg_delay_minutes,total_tsa_passengers,Mean Departure Delay Minutes vs Total Screened Passengers,0.1581,2.5,0.77,0.4427,Not Significant (p >= 0.05)
taxi_out_minutes,total_tsa_passengers,Mean Runway Taxi-Out Queue vs Total Screened Passengers,0.2867,8.22,1.44,0.1512,Not Significant (p >= 0.05)
flights_delayed_15min_pct,total_tsa_passengers,Significant Delay Rate (DepDel15 %) vs Total Screened Passengers,0.2019,4.08,0.99,0.3229,Not Significant (p >= 0.05)
tsa_hourly_cv,cv_dep_delay,Hourly TSA Throughput Volatility (CV) vs Departure Delay Volatility (CV),0.4375,19.14,2.33,< 0.05,Significant (p < 0.05)
tsa_daily_cv,cv_dep_delay,Daily TSA Throughput Volatility (CV) vs Departure Delay Volatility (CV),0.3714,13.79,1.92,0.0551,Not Significant (p >= 0.05)
tsa_hourly_peak_to_median,cv_dep_delay,Hourly TSA Peak-to-Median Surge Ratio vs Departure Delay Volatility (CV),0.348,12.11,1.78,0.0751,Not Significant (p >= 0.05)
tsa_daily_cv,cancellation_rate_pct,Daily TSA Throughput Volatility (CV) vs Flight Cancellation Rate %,0.3246,10.53,1.65,0.0998,Not Significant (p >= 0.05)
tsa_daily_cv,cv_scheduled_flights,Daily TSA Throughput Volatility (CV) vs Sched Flight Departures Volatility (CV),0.3114,9.7,1.57,0.1161,Not Significant (p >= 0.05)
tsa_daily_cv,cv_cancel_rate,Daily TSA Throughput Volatility (CV) vs Flight Cancellation Volatility (CV),-0.2766,7.65,-1.38,0.1675,Not Significant (p >= 0.05)
tsa_daily_std_pax,avg_delay_minutes,Daily TSA Standard Deviation (Pax) vs Mean Departure Delay Minutes,0.2539,6.45,1.26,0.2081,Not Significant (p >= 0.05)
tsa_daily_cv,avg_delay_minutes,Daily TSA Throughput Volatility (CV) vs Mean Departure Delay Minutes,0.1833,3.36,0.89,0.3711,Not Significant (p >= 0.05)
