month,month_name,seasonal_classification,n_days,mean_daily_pax,median_daily_pax,std_daily_pax,cv_daily,min_daily_pax,max_daily_pax,pct_total_volume
1,January,Winter Trough (Off-Peak),93,1104414.65,1101197.0,133174.48,0.1206,827924.0,1383549.0,6.0
2,February,Winter Trough (Off-Peak),85,1156949.98,1156108.0,141601.84,0.1224,865852.0,1436341.0,5.74
3,March,Spring Shoulder (Ramp-Up),93,1282109.34,1287101.0,114989.69,0.0897,986589.0,1484261.0,6.96
4,April,Spring Shoulder (Ramp-Up),90,1287086.09,1298379.0,111850.28,0.0869,1083247.0,1490969.0,6.76
5,May,Spring Shoulder (Ramp-Up),124,1267976.03,1321628.0,230809.65,0.182,413602.0,1566276.0,9.18
6,June,Summer Peak (System Peak),120,1392185.56,1400864.0,176020.02,0.1264,492596.0,1758176.0,9.76
7,July,Summer Peak (System Peak),124,1393058.66,1400828.5,172864.01,0.1241,445202.0,1721147.0,10.09
8,August,Summer Peak (System Peak),124,1325850.73,1318338.5,161630.57,0.1219,972188.0,1688925.0,9.6
9,September,Autumn / Holiday Surge (High Volatility),120,1255021.2,1234644.0,164847.8,0.1314,907185.0,1623645.0,8.79
10,October,Autumn / Holiday Surge (High Volatility),124,1277074.6,1262714.0,203506.55,0.1594,807294.0,1702568.0,9.25
11,November,Autumn / Holiday Surge (High Volatility),120,1215625.15,1260607.5,244205.8,0.2009,389670.0,1765993.0,8.52
12,December,Autumn / Holiday Surge (High Volatility),124,1290259.51,1278734.0,164248.62,0.1273,953006.0,1632549.0,9.34
