rank,date,day_name,system_total_pax,z_score,operational_classification,event_driver
1,2025-11-30,Sunday,1765993.0,2.54,Extreme Super-Peak Event (+2 Sigma),Sunday after Thanksgiving (All-Time Historical Peak)
2,2025-06-22,Sunday,1758176.0,2.5,Extreme Super-Peak Event (+2 Sigma),Summer Solstice Weekend Leisure Surge
3,2025-07-20,Sunday,1721147.0,2.31,Extreme Super-Peak Event (+2 Sigma),Mid-Summer Vacation Turnover Peak
4,2025-07-06,Sunday,1715775.0,2.28,Extreme Super-Peak Event (+2 Sigma),Post-Independence Day July 4th Return Surge
5,2025-07-17,Thursday,1711919.0,2.26,Extreme Super-Peak Event (+2 Sigma),Peak Summer Weekend Departure Wave
6,2025-06-19,Thursday,1707534.0,2.24,Extreme Super-Peak Event (+2 Sigma),Juneteenth Holiday Weekend Departure Wave
7,2025-07-27,Sunday,1706455.0,2.23,Extreme Super-Peak Event (+2 Sigma),Late July Family Vacation Peak
8,2025-10-09,Thursday,1702568.0,2.21,Extreme Super-Peak Event (+2 Sigma),Columbus / Indigenous Peoples Day Holiday Surge
9,2025-07-13,Sunday,1701870.0,2.21,Extreme Super-Peak Event (+2 Sigma),Core Mid-Summer Sunday Travel Turnover
10,2025-06-29,Sunday,1701441.0,2.21,Extreme Super-Peak Event (+2 Sigma),Pre-July 4th Holiday Travel Ramp-Up
