raw_dataset,descriptive_metric,unit,mean,std_dev,median,min_value,min_airport,max_value,max_airport,plain_language_description
BTS Flight On-Time Performance (OTP),Scheduled Commercial Flights,flights,224576,78441,206024,138372,PHL,360571,ORD,Total number of scheduled airline flight departures across the 9 filtered airfields.
BTS Flight On-Time Performance (OTP),Cancelled Flights,flights,3623,1599,2920,1777,DTW,6515,DFW,Number of scheduled flights cancelled before departure.
BTS Flight On-Time Performance (OTP),Flight Cancellation Rate,percent,1.63,0.50,1.47,0.99,LAX,2.46,LGA,Percentage of scheduled flights that were cancelled.
BTS Flight On-Time Performance (OTP),Average Departure Delay,minutes,15.23,2.75,15.65,11.55,DTW,19.85,DFW,Average minutes flights departed behind schedule.
BTS Flight On-Time Performance (OTP),Flights Delayed 15+ Minutes Rate,percent,21.42,3.30,20.14,17.93,LAX,28.07,DFW,Percentage of flights delayed by 15 minutes or more.
BTS Flight On-Time Performance (OTP),Runway Taxi-Out Queue Time,minutes,20.59,2.58,20.35,16.96,DTW,24.67,EWR,Average minutes airplanes waited in line on the tarmac between gate pushback and takeoff.
TSA Checkpoint Hourly Throughput,Total TSA Passenger Throughput,passengers,71145628,27465238,63720916,40429531,PHL,129069341,LAX,Total passenger screening counts recorded at dedicated checkpoints across the 9 airports.
TSA Checkpoint Hourly Throughput,Average Hourly TSA Passenger Count,pax/hour,418.53,157.01,388.37,239.62,ORD,662.36,LGA,Average number of passengers screened through checkpoints during an operating hour.
TSA Checkpoint Hourly Throughput,Hourly Demand Volatility (Std Dev),pax/hour,373.06,190.92,335.11,178.09,DFW,704.23,EWR,"Spread of hourly passenger volumes, showing how heavily traffic surges during rush hours."
TSA Checkpoint Hourly Throughput,Demand Volatility (Coefficient of Variation),ratio,0.8728,0.2000,0.9064,0.6488,BOS,1.2057,EWR,Ratio of standard deviation to the mean; higher numbers mean more extreme traffic surges.
TSA Checkpoint Hourly Throughput,Peak Single-Hour TSA Rush,pax/hour,2673,881,2654,1385,DTW,4020,EWR,Highest single-hour passenger volume screened at checkpoints.
BTS DB1B / DB1C Coupon Survey,Connecting Passenger Share,percent,47.45,10.98,44.41,33.58,EWR,66.32,DFW,Percentage of passengers transferring between gates who never pass through TSA security.
BTS DB1B / DB1C Coupon Survey,Local Originating Passenger Share,percent,52.55,10.98,55.59,33.68,DFW,66.42,EWR,Percentage of passengers starting travel locally who must walk through TSA security.
BTS DB1B / DB1C Coupon Survey,True Local Originating TSA Demand,passengers,16376561,5167458,15995278,10555299,DTW,26293897,LAX,Calculated true passenger demand arriving at security checkpoints after removing connecting transfers.
BTS Form 41 Schedule T-100 Segment Statistics,Airplane Passenger Capacity (Gauge),seats/flight,168.42,7.49,168.00,154.20,LGA,182.30,LAX,Average number of passenger seats on planes departing from the airport.
BTS Form 41 Schedule T-100 Segment Statistics,Flight Fullness (Load Factor),percent,84.96,0.89,84.81,83.85,DTW,86.12,EWR,Average percentage of airline seats occupied by paying passengers.
