airportCode,Mon,Tue,Wed,Thu,Fri,Sat,Sun
ATL,78476.0,65976.0,69905.0,81443.0,83500.0,67830.0,79813.0
AUS,30069.0,23678.0,25916.0,30904.0,30972.0,22262.0,30318.0
BOS,48480.0,42606.0,45175.0,50464.0,52244.0,44552.0,49359.0
CLT,21969.0,18181.0,19396.0,23013.0,23196.0,19313.0,22014.0
DCA,28691.0,25057.0,27783.0,31900.0,29230.0,23588.0,30455.0
DEN,60931.0,50676.0,53032.0,60632.0,62923.0,51614.0,63706.0
DFW,69808.0,60600.0,65285.0,73310.0,73625.0,60733.0,68963.0
DTW,35584.0,30783.0,32827.0,37627.0,37871.0,30782.0,36037.0
EWR,66949.0,60812.0,63989.0,68765.0,69206.0,61039.0,67550.0
IAD,28392.0,25804.0,27979.0,30676.0,31778.0,28762.0,30481.0
IAH,52107.0,45585.0,47757.0,53351.0,50946.0,42177.0,52646.0
JFK,87124.0,81399.0,85045.0,90217.0,86181.0,85953.0,89666.0
LAS,81033.0,58126.0,56539.0,68591.0,70004.0,58555.0,87131.0
LAX,99048.0,87693.0,92361.0,100603.0,101502.0,89502.0,103045.0
LGA,49002.0,42740.0,44229.0,47045.0,21310.0,24619.0,48000.0
MCO,79966.0,67109.0,65796.0,70440.0,78023.0,80011.0,82360.0
MIA,67956.0,60785.0,59128.0,64237.0,68138.0,67636.0,71361.0
MSP,37835.0,31030.0,34762.0,41053.0,39283.0,30399.0,38234.0
ORD,49381.0,43406.0,45713.0,50706.0,50620.0,42697.0,49468.0
PHL,31519.0,26716.0,28626.0,32740.0,32812.0,27675.0,31112.0
PHX,57846.0,50487.0,52410.0,57652.0,57779.0,50491.0,60173.0
SEA,54128.0,47937.0,49640.0,56124.0,57184.0,49104.0,55646.0
SFO,64449.0,58524.0,62368.0,70157.0,70387.0,62230.0,68133.0
SLC,24613.0,21354.0,22958.0,25467.0,25875.0,21736.0,26348.0
TPA,35582.0,29326.0,29770.0,33450.0,34433.0,32203.0,36221.0
